priority_rank,action_type,topic,keyword,page_url,platform,reason,expected_impact,difficulty,next_action
1,create_comparison_page,AI coding tools,cursor vs codex,,,keyword priority 75; content gap: missing_page; high-intent comparison keyword,high,high,build_comparison_page
2,create_comparison_page,AI coding tools,cursor vs copilot debugging speed,,,keyword priority 75; content gap: missing_page; high-intent comparison keyword,high,high,build_comparison_page
3,write_new_article,general,ai app builder tool reviews,,,keyword priority 68; content gap: missing_page; high-intent review keyword,medium,high,build_review_page
4,write_new_article,general,ai assistant tool reviews,,,keyword priority 68; content gap: missing_page; high-intent review keyword,medium,high,build_review_page
5,write_new_article,AI coding tools,ai coding tool reviews,,,keyword priority 68; content gap: missing_page; high-intent review keyword,medium,high,build_review_page
6,write_new_article,general,ai design software review,,,keyword priority 68; content gap: missing_page; high-intent review keyword,medium,high,build_review_page
7,write_new_article,general,ai design tool reviews,,,keyword priority 68; content gap: missing_page; high-intent review keyword,medium,high,build_review_page
8,write_new_article,general,ai image tool reviews,,,keyword priority 68; content gap: missing_page; high-intent review keyword,medium,high,build_review_page
9,write_new_article,general,ai meeting tool reviews,,,keyword priority 68; content gap: missing_page; high-intent review keyword,medium,high,build_review_page
10,write_new_article,general,ai productivity tool reviews,,,keyword priority 68; content gap: missing_page; high-intent review keyword,medium,high,build_review_page
11,write_new_article,general,ai search tool reviews,,,keyword priority 68; content gap: missing_page; high-intent review keyword,medium,high,build_review_page
12,write_new_article,AI SEO tools,ai seo tool reviews,,,keyword priority 68; content gap: missing_page; high-intent review keyword,medium,high,build_review_page
13,write_new_article,general,ai video software review,,,keyword priority 68; content gap: missing_page; high-intent review keyword,medium,high,build_review_page
14,write_new_article,general,ai video tool reviews,,,keyword priority 68; content gap: missing_page; high-intent review keyword,medium,high,build_review_page
15,write_new_article,general,ai voice tool reviews,,,keyword priority 68; content gap: missing_page; high-intent review keyword,medium,high,build_review_page
16,write_new_article,AI writing tools,ai writing software review,,,keyword priority 68; content gap: missing_page; high-intent review keyword,medium,high,build_review_page
17,write_new_article,AI writing tools,ai writing tool reviews,,,keyword priority 68; content gap: missing_page; high-intent review keyword,medium,high,build_review_page
18,write_new_article,AI automation tools,automation tool reviews,,,keyword priority 68; content gap: missing_page; high-intent review keyword,medium,high,build_review_page
19,write_new_article,general,cloud development tool reviews,,,keyword priority 68; content gap: missing_page; high-intent review keyword,medium,high,build_review_page
20,write_new_article,general,crm software review,,,keyword priority 68; content gap: missing_page; high-intent review keyword,medium,high,build_review_page
21,write_new_article,general,crm tool reviews,,,keyword priority 68; content gap: missing_page; high-intent review keyword,medium,high,build_review_page
22,write_new_article,general,marketing tool reviews,,,keyword priority 68; content gap: missing_page; high-intent review keyword,medium,high,build_review_page
23,write_new_article,general,productivity tool reviews,,,keyword priority 68; content gap: missing_page; high-intent review keyword,medium,high,build_review_page
24,create_comparison_page,general,ai assistant software comparison,,,keyword priority 65; content gap: missing_page; high-intent comparison keyword,medium,high,build_comparison_page
25,create_comparison_page,AI coding tools,ai coding software comparison,,,keyword priority 65; content gap: missing_page; high-intent comparison keyword,medium,high,build_comparison_page
26,create_comparison_page,general,ai design software comparison,,,keyword priority 65; content gap: missing_page; high-intent comparison keyword,medium,high,build_comparison_page
27,create_comparison_page,general,ai image software comparison,,,keyword priority 65; content gap: missing_page; high-intent comparison keyword,medium,high,build_comparison_page
28,create_comparison_page,general,ai meeting software comparison,,,keyword priority 65; content gap: missing_page; high-intent comparison keyword,medium,high,build_comparison_page
29,create_comparison_page,general,ai productivity software comparison,,,keyword priority 65; content gap: missing_page; high-intent comparison keyword,medium,high,build_comparison_page
30,create_comparison_page,general,ai search software comparison,,,keyword priority 65; content gap: missing_page; high-intent comparison keyword,medium,high,build_comparison_page
31,create_comparison_page,AI SEO tools,ai seo software comparison,,,keyword priority 65; content gap: missing_page; high-intent comparison keyword,medium,high,build_comparison_page
32,create_comparison_page,general,ai video software comparison,,,keyword priority 65; content gap: missing_page; high-intent comparison keyword,medium,high,build_comparison_page
33,create_comparison_page,general,ai voice software comparison,,,keyword priority 65; content gap: missing_page; high-intent comparison keyword,medium,high,build_comparison_page
34,create_comparison_page,AI writing tools,ai writing software comparison,,,keyword priority 65; content gap: missing_page; high-intent comparison keyword,medium,high,build_comparison_page
35,create_comparison_page,AI automation tools,automation software comparison,,,keyword priority 65; content gap: missing_page; high-intent comparison keyword,medium,high,build_comparison_page
36,create_comparison_page,general,crm software comparison,,,keyword priority 65; content gap: missing_page; high-intent comparison keyword,medium,high,build_comparison_page
