slug,keyword,overall_score,coverage,entity_coverage,entity_coverage_score,missing_entity_types,faq_coverage,outline_quality,affiliate_readiness,source_quality,status,missing_information,cache_hits,package_dir
best-ai-voice-software,best ai voice software,55.86,72,60,60,affiliate_networks; integrations; use_cases; target_audience; competitors,68,80,49,52,needs enrichment,competitor coverage is limited,ElevenLabs,D:\AFFILATE BOT\data\research\best-ai-voice-software
best-ai-meeting-software,best ai meeting software,55.86,72,60,60,affiliate_networks; integrations; use_cases; target_audience; competitors,68,80,49,52,needs enrichment,competitor coverage is limited,Reclaim AI,D:\AFFILATE BOT\data\research\best-ai-meeting-software
karakeep-review-2026,karakeep Review 2026,45.86,72,36,36,ai_tools; companies; affiliate_networks; integrations; use_cases; target_audience; competitors; product_categories,68,80,45,10,needs enrichment,trusted sources are thin; competitor coverage is limited; entity extraction needs richer tool coverage,,D:\AFFILATE BOT\data\research\karakeep-review-2026
taste-skill-review-2026,taste-skill Review 2026,45.86,72,36,36,ai_tools; companies; affiliate_networks; integrations; use_cases; target_audience; competitors; product_categories,68,80,45,10,needs enrichment,trusted sources are thin; competitor coverage is limited; entity extraction needs richer tool coverage,,D:\AFFILATE BOT\data\research\taste-skill-review-2026
last30days-skill-review-2026,last30days-skill Review 2026,45.86,72,36,36,ai_tools; companies; affiliate_networks; integrations; use_cases; target_audience; competitors; product_categories,68,80,45,10,needs enrichment,trusted sources are thin; competitor coverage is limited; entity extraction needs richer tool coverage,,D:\AFFILATE BOT\data\research\last30days-skill-review-2026
agent-skills-review-2026,agent-skills Review 2026,45.86,72,36,36,ai_tools; companies; affiliate_networks; integrations; use_cases; target_audience; competitors; product_categories,68,80,45,10,needs enrichment,trusted sources are thin; competitor coverage is limited; entity extraction needs richer tool coverage,,D:\AFFILATE BOT\data\research\agent-skills-review-2026
system-prompts-leaks-review-2026,system_prompts_leaks Review 2026,45.86,72,36,36,ai_tools; companies; affiliate_networks; integrations; use_cases; target_audience; competitors; product_categories,68,80,45,10,needs enrichment,trusted sources are thin; competitor coverage is limited; entity extraction needs richer tool coverage,,D:\AFFILATE BOT\data\research\system-prompts-leaks-review-2026
meetily-review-2026,meetily Review 2026,45.86,72,36,36,ai_tools; companies; affiliate_networks; integrations; use_cases; target_audience; competitors; product_categories,68,80,45,10,needs enrichment,trusted sources are thin; competitor coverage is limited; entity extraction needs richer tool coverage,,D:\AFFILATE BOT\data\research\meetily-review-2026
impartner-redefines-partner-marketing-automation-with-full-automation-adtech-and-ai-to-drive-measurable-revenue,"Impartner Redefines Partner Marketing Automation with Full Automation, AdTech and AI to Drive Measurable Revenue",62.43,72,60,60,affiliate_networks; integrations; use_cases; target_audience; competitors,68,70,57,100,ready,competitor coverage is limited,,D:\AFFILATE BOT\data\research\impartner-redefines-partner-marketing-automation-with-full-automation-adtech-and-ai-to-drive-measurable-revenue
best-ai-productivity-software,best ai productivity software,63.86,72,60,60,affiliate_networks; integrations; use_cases; target_audience; competitors,68,80,57,100,ready,competitor coverage is limited,,D:\AFFILATE BOT\data\research\best-ai-productivity-software
