rank,topic,slug,article_exists,recommended_action,article_type,money_score,trend_score,affiliate_score,competition_score,content_gap_score,internal_link_score,impression_score,ctr_score,youtube_score,social_score,final_score,estimated_monthly_traffic,affiliate_conversion_rate,estimated_revenue_score,estimated_value,reason
1,free-for-dev Review 2026,free-for-dev-review-2026,YES,REFRESH,review,73.6,67.0,63.0,63.0,0.0,45.0,71.2,50,82.0,60.1,59.1,1314,0.072,100,1490.08,REFRESH: Reviews; duplicate=REFRESH_EXISTING
2,ai-berkshire Review 2026,ai-berkshire-review-2026,YES,REFRESH,review,72.9,66.0,63.0,63.0,0.0,45.0,69.5,50,81.0,62.5,58.8,1242,0.07,100,1369.31,REFRESH: Reviews; duplicate=REFRESH_EXISTING
3,agency-agents Review 2026,agency-agents-review-2026,YES,REFRESH,review,72.9,66.0,63.0,63.0,0.0,45.0,69.5,50,81.0,59.9,58.6,1242,0.07,100,1369.31,REFRESH: AI Automation; duplicate=REFRESH_EXISTING
4,logto Review 2026,logto-review-2026,YES,REFRESH,review,73.0,60.0,63.0,63.0,0.0,45.0,65.9,50,77.0,57.4,57.1,1188,0.072,100,1347.19,REFRESH: Reviews; duplicate=REFRESH_EXISTING
5,VulnClaw Review 2026,vulnclaw-review-2026,YES,REFRESH,review,72.9,60.0,63.0,63.0,0.0,45.0,65.5,50,77.0,57.4,57.1,1170,0.072,100,1326.78,REFRESH: Reviews; duplicate=REFRESH_EXISTING
6,council-of-high-intelligence Review 2026,council-of-high-intelligence-review-2026,YES,REFRESH,review,69.4,62.0,58.0,63.0,0.0,45.0,67.4,50,78.0,57.5,56.3,1224,0.065,100,1153.62,REFRESH: Reviews; duplicate=REFRESH_EXISTING
7,cupy Review 2026,cupy-review-2026,YES,REFRESH,review,68.8,62.0,58.0,63.0,0.0,45.0,66.0,50,78.0,57.5,56.0,1152,0.064,100,1069.06,REFRESH: Reviews; duplicate=REFRESH_EXISTING
8,best ai search software,best-ai-search-software,YES,REFRESH,best list,65.2,56.0,66.0,41.0,44.0,45.0,57.1,50,64.0,54.4,55.7,1044,0.066,100,1136.92,REFRESH: AI Search; duplicate=REFRESH_EXISTING
9,"Tavant debuts agentic AI platform for software engineering, automation",tavant-debuts-agentic-ai-platform-for-software-engineering-automation,YES,REFRESH,evergreen,68.7,46.0,64.0,53.0,0.0,90.0,53.9,50,68.0,56.6,55.6,864,0.075,100,1036.8,REFRESH: AI Automation; duplicate=REFRESH_EXISTING
10,affordable ai search platform,affordable-ai-search-platform,YES,REFRESH,evergreen,56.8,55.0,54.0,53.0,44.0,45.0,61.0,50,74.0,57.0,55.0,1044,0.061,100,859.73,REFRESH: AI Search; duplicate=REFRESH_EXISTING
11,best ai productivity software,best-ai-productivity-software,YES,MONITOR,best list,65.8,56.0,66.0,41.0,32.0,45.0,58.5,50,64.0,54.6,54.8,1116,0.068,100,1252.15,MONITOR: AI Productivity; duplicate=REFRESH_EXISTING
12,best productivity software,best-productivity-software,YES,MONITOR,best list,65.8,56.0,66.0,41.0,32.0,45.0,58.5,50,64.0,54.6,54.8,1116,0.068,100,1252.15,MONITOR: AI Productivity; duplicate=REFRESH_EXISTING
13,AI coding tokens could soon cost as much as salaries,ai-coding-tokens-could-soon-cost-as-much-as-salaries,YES,MONITOR,pricing,67.8,46.0,51.0,53.0,0.0,100.0,56.1,50,68.0,54.2,54.7,936,0.066,98.5,787.64,MONITOR: AI Coding; duplicate=REFRESH_EXISTING
14,best ai image software,best-ai-image-software,YES,MONITOR,best list,65.2,56.0,66.0,41.0,32.0,45.0,57.1,50,64.0,54.4,54.5,1044,0.066,100,1136.92,MONITOR: AI Image; duplicate=REFRESH_EXISTING
15,best ai meeting software,best-ai-meeting-software,YES,MONITOR,best list,65.2,56.0,66.0,41.0,32.0,45.0,57.1,50,64.0,54.4,54.5,1044,0.066,100,1136.92,MONITOR: AI Productivity; duplicate=REFRESH_EXISTING
16,best productivity tools,best-productivity-tools,YES,MONITOR,best list,64.1,56.0,66.0,41.0,32.0,45.0,58.5,50,64.0,52.8,54.3,1116,0.068,100,1252.15,MONITOR: AI Productivity; duplicate=REFRESH_EXISTING
17,best ai image tools,best-ai-image-tools,YES,MONITOR,best list,63.4,56.0,66.0,41.0,32.0,45.0,57.1,50,64.0,52.6,54.1,1044,0.066,100,1136.92,MONITOR: AI Image; duplicate=REFRESH_EXISTING
18,best ai meeting tools,best-ai-meeting-tools,YES,MONITOR,best list,63.4,56.0,66.0,41.0,32.0,45.0,57.1,50,64.0,52.6,54.1,1044,0.066,100,1136.92,MONITOR: AI Productivity; duplicate=REFRESH_EXISTING
19,affordable ai design platform,affordable-ai-design-platform,YES,MONITOR,evergreen,56.8,55.0,54.0,53.0,32.0,45.0,61.0,50,74.0,57.0,53.8,1044,0.061,100,859.73,MONITOR: AI Image; duplicate=REFRESH_EXISTING
20,affordable ai image platform,affordable-ai-image-platform,YES,MONITOR,evergreen,56.8,55.0,54.0,53.0,32.0,45.0,61.0,50,74.0,57.0,53.8,1044,0.061,100,859.73,MONITOR: AI Image; duplicate=REFRESH_EXISTING
21,affordable ai meeting platform,affordable-ai-meeting-platform,YES,MONITOR,evergreen,56.8,55.0,54.0,53.0,32.0,45.0,61.0,50,74.0,57.0,53.8,1044,0.061,100,859.73,MONITOR: AI Productivity; duplicate=REFRESH_EXISTING
22,The best AI coding tool isn't the one that writes the most code,the-best-ai-coding-tool-isn-t-the-one-that-writes-the-most-code,YES,MONITOR,best list,66.5,46.0,66.0,41.0,0.0,90.0,50.9,50,58.0,50.4,52.8,936,0.069,100,1065.64,MONITOR: AI Coding; duplicate=REFRESH_EXISTING
23,Ornith-1.0: self-improving open-source models for agentic coding,ornith-1-0-self-improving-open-source-models-for-agentic-coding,YES,MONITOR,evergreen,50.0,60.0,41.0,53.0,0.0,90.0,64.5,50,77.0,56.8,52.3,1116,0.05,71.5,571.95,MONITOR: AI Coding; duplicate=REFRESH_EXISTING
24,Open AI delayed GPT-5.6 after a U.S. government review request. Is AI regulation becoming the new normal?,open-ai-delayed-gpt-5-6-after-a-u-s-government-review-request-is-ai-regulation-becoming-the-new-normal,YES,MONITOR,review,67.3,47.0,58.0,63.0,0.0,45.0,53.4,50,68.0,60.6,52.3,792,0.064,91.9,734.98,MONITOR: Reviews; duplicate=REFRESH_EXISTING
25,Ornith-1.0: Self-scaffolding LLMs for agentic coding,ornith-1-0-self-scaffolding-llms-for-agentic-coding,YES,MONITOR,evergreen,49.8,58.0,41.0,53.0,0.0,90.0,62.3,50,76.0,56.0,51.8,1044,0.05,66.9,535.05,MONITOR: AI Coding; duplicate=REFRESH_EXISTING
26,12 Best AI for Coding Tools in 2026 (Vibecoding & Data Science),12-best-ai-for-coding-tools-in-2026-vibecoding-data-science,YES,MONITOR,best list,63.5,46.0,66.0,41.0,0.0,90.0,48.1,50,58.0,48.4,51.8,792,0.066,100,862.49,MONITOR: AI Coding; duplicate=REFRESH_EXISTING
27,best ai voice software,best-ai-voice-software,YES,MONITOR,best list,65.2,56.0,66.0,41.0,0.0,45.0,57.1,50,64.0,54.4,51.3,1044,0.066,100,1136.92,MONITOR: SaaS Reviews; duplicate=REFRESH_EXISTING
28,AI shakes SaaS as markets plunge and Korea races to reinvent software,ai-shakes-saas-as-markets-plunge-and-korea-races-to-reinvent-software,YES,MONITOR,evergreen,64.7,46.0,64.0,53.0,0.0,45.0,55.3,50,68.0,54.6,51.2,936,0.076,100,1138.18,MONITOR: SaaS Reviews; duplicate=REFRESH_EXISTING
29,affordable ai voice platform,affordable-ai-voice-platform,YES,MONITOR,evergreen,56.8,55.0,54.0,53.0,0.0,45.0,61.0,50,74.0,57.0,50.6,1044,0.061,100,859.73,MONITOR: SaaS Reviews; duplicate=REFRESH_EXISTING
