tracking_id,source,medium,campaign,content,platform,target_url,tracked_url,page_slug,topic,tool_name,status,recommendation
best-ai-coding-tools-2026-linkedin-social-seed-32-linkedin,linkedin,organic_social,copilot-vs-codex-comparison,comparison,LinkedIn,https://review.mssmileenglish.com/best-ai-coding-tools-2026/?utm_source=linkedin,https://review.mssmileenglish.com/best-ai-coding-tools-2026/?utm_source=linkedin&utm_medium=social&utm_campaign=copilot-vs-codex-comparison&utm_content=social-seed-32-linkedin,best-ai-coding-tools-2026,Copilot vs Codex,Codex,ready,priority_social_push
best-ai-coding-tools-2026-twitter-social-seed-31-xxtwitter,twitter,organic_social,copilot-vs-codex-comparison,comparison,X/Twitter,https://review.mssmileenglish.com/best-ai-coding-tools-2026/?utm_source=twitter,https://review.mssmileenglish.com/best-ai-coding-tools-2026/?utm_source=twitter&utm_medium=social&utm_campaign=copilot-vs-codex-comparison&utm_content=social-seed-31-xxtwitter,best-ai-coding-tools-2026,Copilot vs Codex,Codex,ready,priority_social_push
best-ai-coding-tools-2026-telegram-social-seed-34-telegram,telegram,organic_social,copilot-vs-codex-comparison,comparison,Telegram,https://review.mssmileenglish.com/best-ai-coding-tools-2026/?utm_source=telegram,https://review.mssmileenglish.com/best-ai-coding-tools-2026/?utm_source=telegram&utm_medium=social&utm_campaign=copilot-vs-codex-comparison&utm_content=social-seed-34-telegram,best-ai-coding-tools-2026,Copilot vs Codex,Codex,ready,priority_social_push
best-ai-coding-tools-2026-facebook-social-seed-33-facebook,facebook,organic_social,copilot-vs-codex-comparison,comparison,Facebook,https://review.mssmileenglish.com/best-ai-coding-tools-2026/?utm_source=facebook,https://review.mssmileenglish.com/best-ai-coding-tools-2026/?utm_source=facebook&utm_medium=social&utm_campaign=copilot-vs-codex-comparison&utm_content=social-seed-33-facebook,best-ai-coding-tools-2026,Copilot vs Codex,Codex,ready,priority_social_push
cursor-linkedin-social-seed-36-linkedin,linkedin,organic_social,cursor-vs-codex-comparison,comparison,LinkedIn,https://review.mssmileenglish.com/review/cursor/?utm_source=linkedin,https://review.mssmileenglish.com/review/cursor/?utm_source=linkedin&utm_medium=social&utm_campaign=cursor-vs-codex-comparison&utm_content=social-seed-36-linkedin,cursor,Cursor vs Codex,Cursor,ready,priority_social_push
cursor-twitter-social-seed-35-xxtwitter,twitter,organic_social,cursor-vs-codex-comparison,comparison,X/Twitter,https://review.mssmileenglish.com/review/cursor/?utm_source=twitter,https://review.mssmileenglish.com/review/cursor/?utm_source=twitter&utm_medium=social&utm_campaign=cursor-vs-codex-comparison&utm_content=social-seed-35-xxtwitter,cursor,Cursor vs Codex,Cursor,ready,priority_social_push
cursor-telegram-social-seed-38-telegram,telegram,organic_social,cursor-vs-codex-comparison,comparison,Telegram,https://review.mssmileenglish.com/review/cursor/?utm_source=telegram,https://review.mssmileenglish.com/review/cursor/?utm_source=telegram&utm_medium=social&utm_campaign=cursor-vs-codex-comparison&utm_content=social-seed-38-telegram,cursor,Cursor vs Codex,Cursor,ready,priority_social_push
cursor-facebook-social-seed-37-facebook,facebook,organic_social,cursor-vs-codex-comparison,comparison,Facebook,https://review.mssmileenglish.com/review/cursor/?utm_source=facebook,https://review.mssmileenglish.com/review/cursor/?utm_source=facebook&utm_medium=social&utm_campaign=cursor-vs-codex-comparison&utm_content=social-seed-37-facebook,cursor,Cursor vs Codex,Cursor,ready,priority_social_push
cursor-linkedin-social-seed-44-linkedin,linkedin,organic_social,when-codex-fixes-what-cursor-breaks-failure-case,failure_case,LinkedIn,https://review.mssmileenglish.com/review/cursor/?utm_source=linkedin,https://review.mssmileenglish.com/review/cursor/?utm_source=linkedin&utm_medium=social&utm_campaign=when-codex-fixes-what-cursor-breaks-failure-case&utm_content=social-seed-44-linkedin,cursor,When Codex fixes what Cursor breaks,Cursor,ready,priority_social_push
cursor-twitter-social-seed-43-xxtwitter,twitter,organic_social,when-codex-fixes-what-cursor-breaks-failure-case,failure_case,X/Twitter,https://review.mssmileenglish.com/review/cursor/?utm_source=twitter,https://review.mssmileenglish.com/review/cursor/?utm_source=twitter&utm_medium=social&utm_campaign=when-codex-fixes-what-cursor-breaks-failure-case&utm_content=social-seed-43-xxtwitter,cursor,When Codex fixes what Cursor breaks,Cursor,ready,priority_social_push
