rank,topic,slug,decision,reason,final_score,money_score,trend_score,affiliate_score,competition_score,content_gap_score,internal_link_score,impression_score,ctr_score,youtube_score,social_score,article_type,priority,article_url,youtube_action
1,free-for-dev Review 2026,free-for-dev-review-2026,REFRESH_EXISTING,REFRESH: Reviews; duplicate=REFRESH_EXISTING,59.1,73.6,67.0,63.0,63.0,0.0,45.0,71.2,50,82.0,60.1,review,P4,https://smileaireviewhub.com/free-for-dev-review-2026/,CREATE VIDEO
2,ai-berkshire Review 2026,ai-berkshire-review-2026,REFRESH_EXISTING,REFRESH: Reviews; duplicate=REFRESH_EXISTING,58.8,72.9,66.0,63.0,63.0,0.0,45.0,69.5,50,81.0,62.5,review,P4,https://smileaireviewhub.com/ai-berkshire-review-2026/,CREATE VIDEO
3,agency-agents Review 2026,agency-agents-review-2026,REFRESH_EXISTING,REFRESH: AI Automation; duplicate=REFRESH_EXISTING,58.6,72.9,66.0,63.0,63.0,0.0,45.0,69.5,50,81.0,59.9,review,P4,https://smileaireviewhub.com/agency-agents-review-2026/,CREATE VIDEO
4,logto Review 2026,logto-review-2026,REFRESH_EXISTING,REFRESH: Reviews; duplicate=REFRESH_EXISTING,57.1,73.0,60.0,63.0,63.0,0.0,45.0,65.9,50,77.0,57.4,review,P4,https://smileaireviewhub.com/logto-review-2026/,CREATE VIDEO
5,VulnClaw Review 2026,vulnclaw-review-2026,REFRESH_EXISTING,REFRESH: Reviews; duplicate=REFRESH_EXISTING,57.1,72.9,60.0,63.0,63.0,0.0,45.0,65.5,50,77.0,57.4,review,P4,https://smileaireviewhub.com/vulnclaw-review-2026/,CREATE VIDEO
6,council-of-high-intelligence Review 2026,council-of-high-intelligence-review-2026,REFRESH_EXISTING,REFRESH: Reviews; duplicate=REFRESH_EXISTING,56.3,69.4,62.0,58.0,63.0,0.0,45.0,67.4,50,78.0,57.5,review,P4,https://smileaireviewhub.com/council-of-high-intelligence-review-2026/,CREATE VIDEO
7,cupy Review 2026,cupy-review-2026,REFRESH_EXISTING,REFRESH: Reviews; duplicate=REFRESH_EXISTING,56.0,68.8,62.0,58.0,63.0,0.0,45.0,66.0,50,78.0,57.5,review,P4,https://smileaireviewhub.com/cupy-review-2026/,CREATE VIDEO
8,best ai search software,best-ai-search-software,REFRESH_EXISTING,REFRESH: AI Search; duplicate=REFRESH_EXISTING,55.7,65.2,56.0,66.0,41.0,44.0,45.0,57.1,50,64.0,54.4,best list,P4,https://smileaireviewhub.com/best-ai-search-software/,OPTIONAL
9,"Tavant debuts agentic AI platform for software engineering, automation",tavant-debuts-agentic-ai-platform-for-software-engineering-automation,REFRESH_EXISTING,REFRESH: AI Automation; duplicate=REFRESH_EXISTING,55.6,68.7,46.0,64.0,53.0,0.0,90.0,53.9,50,68.0,56.6,evergreen,P4,https://smileaireviewhub.com/tavant-debuts-agentic-ai-platform-for-software-engineering-automation/,CREATE VIDEO
10,affordable ai search platform,affordable-ai-search-platform,REFRESH_EXISTING,REFRESH: AI Search; duplicate=REFRESH_EXISTING,55.0,56.8,55.0,54.0,53.0,44.0,45.0,61.0,50,74.0,57.0,evergreen,P4,https://smileaireviewhub.com/affordable-ai-search-platform/,CREATE VIDEO
