offer_id,brand_name,website,affiliate_url,niche,commission_type,commission_rate,flat_commission,cookie_days,recurring,traffic_policy,direct_linking_allowed,brand_bidding_allowed,vendor_trust,buyer_intent,notes
jasper-ai,Jasper AI,https://www.jasper.ai,https://www.jasper.ai/partners,AI Writing,recurring,30,0,45,True,"paid search allowed, no trademark bidding, no direct linking",False,False,86,88,Strong B2B creator demand.
surfer-seo,Surfer SEO,https://surferseo.com,https://surferseo.com/affiliate-program/,AI SEO,recurring,25,0,60,True,"paid search allowed, no trademark bidding",False,False,84,86,Good comparison/review intent.
synthesia,Synthesia,https://www.synthesia.io,https://www.synthesia.io/affiliate-program,AI Video,percentage,20,0,30,False,"paid search allowed, brand bidding restricted",False,False,88,82,Enterprise and creator use cases.
elevenlabs,ElevenLabs,https://elevenlabs.io,https://elevenlabs.io/affiliate,AI Voice,recurring,22,0,30,True,"review content allowed, no misleading voice claims",False,False,83,78,High interest but policy needs careful copy.
notion,Notion,https://www.notion.com,https://www.notion.com/affiliates,Productivity,flat,0,50,30,False,"paid search allowed, no trademark bidding",False,False,92,76,"Broad market, higher competition."
make,Make,https://www.make.com,https://www.make.com/en/affiliates,Automation,recurring,20,0,90,True,"content and search allowed, no trademark bidding",False,False,85,84,Strong workflow automation angle.
hubspot,HubSpot,https://www.hubspot.com,https://www.hubspot.com/partners/affiliates,CRM,flat,0,1000,90,False,"no trademark bidding, no coupon abuse, paid search restricted",False,False,94,90,"High payout, high competition."
activecampaign,ActiveCampaign,https://www.activecampaign.com,https://www.activecampaign.com/partner/affiliate,Email Marketing,recurring,30,0,90,True,"paid search allowed with restrictions, no trademark bidding",False,False,87,85,Good alternative/comparison keywords.
canva,Canva,https://www.canva.com,https://www.canva.com/affiliates/,AI Design,flat,0,36,30,False,"no trademark bidding, coupon restrictions",False,False,93,73,"Huge demand, competitive SERP."
reclaim-ai,Reclaim AI,https://reclaim.ai,https://reclaim.ai/affiliate,AI Meeting,recurring,25,0,60,True,"paid search allowed, no misleading productivity claims",False,False,78,80,Rising calendar automation niche.
gamma,Gamma,https://gamma.app,,AI Productivity,UNKNOWN,0,0,0,False,NEED_REVIEW - affiliate approval and paid search policy not verified,False,False,76,72,Presentation and document creation tool. Affiliate terms need manual verification.
webflow-ai,Webflow AI,https://webflow.com/ai,,Website Builder,UNKNOWN,0,0,0,False,NEED_REVIEW - affiliate approval and paid search policy not verified,False,False,88,80,Website builder and AI-assisted site workflow angle.
adcreative-ai,AdCreative AI,https://www.adcreative.ai,,Marketing,UNKNOWN,0,0,0,False,NEED_REVIEW - affiliate approval and paid search policy not verified,False,False,74,78,Ad creative generation tool for marketers. Claims need careful wording.
