cluster,total_articles,published_articles,missing_articles,authority_score,recommended_next_articles,internal_link_gaps
AI Automation,26,0,3,100,AI Automation Tutorial 2026; AI Automation Faq 2026; AI Automation Video Review 2026,0
AI Coding,27,0,4,100,AI Coding Alternatives 2026; AI Coding Tutorial 2026; AI Coding Faq 2026; AI Coding Video Review 2026,0
AI Image,17,0,4,68.0,AI Image Alternatives 2026; AI Image Tutorial 2026; AI Image Faq 2026; AI Image Video Review 2026,32.0
AI Productivity,17,0,5,68.0,AI Productivity Pricing 2026; AI Productivity Alternatives 2026; AI Productivity Tutorial 2026; AI Productivity Faq 2026; AI Productivity Video Review 2026,32.0
AI SEO,23,0,3,92.0,AI SEO Tutorial 2026; AI SEO Faq 2026; AI SEO Video Review 2026,8.0
AI Search,14,0,5,56.0,AI Search Pricing 2026; AI Search Alternatives 2026; AI Search Tutorial 2026; AI Search Faq 2026; AI Search Video Review 2026,44.0
AI Video,11,0,4,44.0,AI Video Alternatives 2026; AI Video Tutorial 2026; AI Video Faq 2026; AI Video Video Review 2026,56.0
AI Writing,16,0,4,64.0,AI Writing Alternatives 2026; AI Writing Tutorial 2026; AI Writing Faq 2026; AI Writing Video Review 2026,36.0
Comparisons,3,0,5,12.0,Comparisons Review 2026; Comparisons Pricing 2026; Comparisons Alternatives 2026; Comparisons Tutorial 2026; Comparisons Faq 2026,88.0
Reviews,55,0,5,100,Reviews Pricing 2026; Reviews Alternatives 2026; Reviews Comparison 2026; Reviews Faq 2026; Reviews Video Review 2026,0
SaaS Reviews,65,0,5,100,SaaS Reviews Review 2026; SaaS Reviews Alternatives 2026; SaaS Reviews Comparison 2026; SaaS Reviews Tutorial 2026; SaaS Reviews Faq 2026,0
