topic,slug,action,reason,confidence,expected_revenue,expected_traffic,deadline,risk,priority
ai-berkshire Review 2026,ai-berkshire-review-2026,WRITE LATER,commercial keyword; high buyer intent; strong affiliate value,55,75.23,1426,2026-07-07,Low,P3
"Tavant debuts agentic AI platform for software engineering, automation",tavant-debuts-agentic-ai-platform-for-software-engineering-automation,WRITE NOW,high buyer intent; strong affiliate value,75,29.21,1041,2026-06-30,Low,P1
free-for-dev Review 2026,free-for-dev-review-2026,CREATE VIDEO,commercial keyword; high buyer intent; strong affiliate value,25,80.51,1490,2026-07-02,Low,P2
AI shakes SaaS as markets plunge and Korea races to reinvent software,ai-shakes-saas-as-markets-plunge-and-korea-races-to-reinvent-software,WRITE NOW,high buyer intent; strong affiliate value,75,30.08,1053,2026-06-30,Low,P1
agency-agents Review 2026,agency-agents-review-2026,CREATE VIDEO,commercial keyword; high buyer intent; strong affiliate value,25,75.23,1426,2026-07-02,Low,P2
affordable ai design platform,affordable-ai-design-platform,WRITE LATER,high buyer intent,55,24.64,1127,2026-07-07,Low,P3
affordable ai image platform,affordable-ai-image-platform,WRITE LATER,high buyer intent,55,24.64,1127,2026-07-07,Low,P3
affordable ai meeting platform,affordable-ai-meeting-platform,WRITE LATER,high buyer intent,55,24.64,1127,2026-07-07,Low,P3
affordable ai search platform,affordable-ai-search-platform,WRITE LATER,high buyer intent,55,24.64,1127,2026-07-07,Low,P3
affordable ai voice platform,affordable-ai-voice-platform,WRITE LATER,high buyer intent,55,24.64,1127,2026-07-07,Low,P3
logto Review 2026,logto-review-2026,CREATE VIDEO,commercial keyword; high buyer intent; strong affiliate value,25,74.3,1377,2026-07-02,Low,P2
VulnClaw Review 2026,vulnclaw-review-2026,CREATE VIDEO,commercial keyword; high buyer intent; strong affiliate value,25,73.17,1356,2026-07-02,Low,P2
best ai productivity software,best-ai-productivity-software,WRITE LATER,commercial keyword; high buyer intent; strong affiliate value,55,37.17,1063,2026-07-07,Low,P3
AI coding tokens could soon cost as much as salaries,ai-coding-tokens-could-soon-cost-as-much-as-salaries,CREATE LANDING PAGE,high buyer intent,55,54.11,1047,2026-07-07,Low,P3
council-of-high-intelligence Review 2026,council-of-high-intelligence-review-2026,CREATE VIDEO,commercial keyword; high buyer intent,25,67.36,1399,2026-07-02,Low,P2
cupy Review 2026,cupy-review-2026,CREATE VIDEO,commercial keyword; high buyer intent,25,62.87,1335,2026-07-02,Low,P2
best ai image software,best-ai-image-software,WRITE LATER,commercial keyword; high buyer intent,55,34.28,1004,2026-07-07,Low,P3
best ai meeting software,best-ai-meeting-software,WRITE LATER,commercial keyword; high buyer intent,55,34.28,1004,2026-07-07,Low,P3
best ai search software,best-ai-search-software,WRITE LATER,commercial keyword; high buyer intent,55,34.28,1004,2026-07-07,Low,P3
best ai voice software,best-ai-voice-software,WRITE LATER,commercial keyword; high buyer intent,55,34.28,1004,2026-07-07,Low,P3
best ai image tools,best-ai-image-tools,WRITE LATER,commercial keyword; high buyer intent,55,33.52,982,2026-07-07,Low,P3
best ai meeting tools,best-ai-meeting-tools,WRITE LATER,commercial keyword; high buyer intent,55,33.52,982,2026-07-07,Low,P3
Gradial Lands $65M Series C for Agentic Marketing Platform,gradial-lands-65m-series-c-for-agentic-marketing-platform,WRITE LATER,high buyer intent; strong affiliate value,75,24.75,982,2026-07-07,Low,P3
best productivity software,best-productivity-software,WRITE LATER,commercial keyword; high buyer intent; strong affiliate value,55,37.17,1063,2026-07-07,Low,P3
"CMO Vision: AI Is Rewiring How Marketing Is Understood, Shaped And Scaled",cmo-vision-ai-is-rewiring-how-marketing-is-understood-shaped-and-scaled,WRITE LATER,balanced opportunity,75,21.58,1059,2026-07-07,Low,P3
best productivity tools,best-productivity-tools,WRITE LATER,commercial keyword; high buyer intent; strong affiliate value,55,36.39,1041,2026-07-07,Low,P3
The best AI coding tool isn't the one that writes the most code,the-best-ai-coding-tool-isn-t-the-one-that-writes-the-most-code,WRITE LATER,commercial keyword; high buyer intent; strong affiliate value,55,32.92,920,2026-07-07,Low,P3
Ornith-1.0: self-improving open-source models for agentic coding,ornith-1-0-self-improving-open-source-models-for-agentic-coding,WAIT,balanced opportunity,25,19.7,1156,2026-07-07,Low,P3
