page_path,tool_slug,tool_name,image_path,status,alt_text
D:\AFFILATE BOT\site_output\review\adcreative-ai\index.html,adcreative-ai,AdCreative AI,,missing_image,Adcreative Ai dashboard screenshot
D:\AFFILATE BOT\site_output\review\durable\index.html,durable,Durable,,missing_image,Durable dashboard screenshot
D:\AFFILATE BOT\site_output\review\framer\index.html,framer,Framer,,missing_image,Framer dashboard screenshot
D:\AFFILATE BOT\site_output\review\jasper-ai\index.html,jasper-ai,Jasper AI,,missing_image,Jasper Ai dashboard screenshot
D:\AFFILATE BOT\site_output\review\notion\index.html,notion,Notion,,missing_image,Notion dashboard screenshot
D:\AFFILATE BOT\site_output\review\pipedrive\index.html,pipedrive,Pipedrive,,missing_image,Pipedrive dashboard screenshot
D:\AFFILATE BOT\site_output\review\pipedrive-crm\index.html,pipedrive-crm,Pipedrive CRM,,missing_image,Pipedrive Crm dashboard screenshot
D:\AFFILATE BOT\site_output\review\reclaim-ai\index.html,reclaim-ai,Reclaim AI,,missing_image,Reclaim Ai dashboard screenshot
D:\AFFILATE BOT\site_output\review\synthesia\index.html,synthesia,Synthesia,,missing_image,Synthesia dashboard screenshot
D:\AFFILATE BOT\site_output\review\webflow\index.html,webflow,Webflow,,missing_image,Webflow dashboard screenshot
