rank,topic,slug,buyer_intent_score,affiliate_fit_score,product_review_score,comparison_score,pricing_score,conversion_score,revenue_estimate,money_score,decision,reason
1,free-for-dev Review 2026,free-for-dev-review-2026,78.0,63.0,90,35,35,70.0,579.47,73.6,REFRESH,review intent; duplicate=REFRESH_EXISTING
2,logto Review 2026,logto-review-2026,78.0,63.0,90,35,35,70.0,523.91,73.0,REFRESH,review intent; duplicate=REFRESH_EXISTING
3,ai-berkshire Review 2026,ai-berkshire-review-2026,77.0,63.0,90,35,35,68.9,539.11,72.9,REFRESH,review intent; duplicate=REFRESH_EXISTING
4,agency-agents Review 2026,agency-agents-review-2026,77.0,63.0,90,35,35,68.9,539.11,72.9,REFRESH,review intent; duplicate=REFRESH_EXISTING
5,VulnClaw Review 2026,vulnclaw-review-2026,78.0,63.0,90,35,35,70.0,515.97,72.9,REFRESH,review intent; duplicate=REFRESH_EXISTING
6,council-of-high-intelligence Review 2026,council-of-high-intelligence-review-2026,73.0,58.0,90,35,35,64.7,498.91,69.4,REFRESH,review intent; duplicate=REFRESH_EXISTING
7,cupy Review 2026,cupy-review-2026,72.0,58.0,90,35,35,63.6,461.58,68.8,REFRESH,review intent; duplicate=REFRESH_EXISTING
8,"Tavant debuts agentic AI platform for software engineering, automation",tavant-debuts-agentic-ai-platform-for-software-engineering-automation,83.0,64.0,45,35,35,72.2,393.0,68.7,REFRESH,evergreen intent; duplicate=REFRESH_EXISTING
9,AI coding tokens could soon cost as much as salaries,ai-coding-tokens-could-soon-cost-as-much-as-salaries,74.0,51.0,45,35,90,63.8,376.22,67.8,REFRESH,pricing intent; duplicate=REFRESH_EXISTING
10,Open AI delayed GPT-5.6 after a U.S. government review request. Is AI regulation becoming the new normal?,open-ai-delayed-gpt-5-6-after-a-u-s-government-review-request-is-ai-regulation-becoming-the-new-normal,72.0,58.0,90,35,35,63.6,317.34,67.3,REFRESH,review intent; duplicate=REFRESH_EXISTING
11,The best AI coding tool isn't the one that writes the most code,the-best-ai-coding-tool-isn-t-the-one-that-writes-the-most-code,73.0,66.0,45,90,35,65.0,383.29,66.5,REFRESH,best list intent; duplicate=REFRESH_EXISTING
12,best ai productivity software,best-ai-productivity-software,72.0,66.0,45,90,35,64.0,449.97,65.8,REFRESH,best list intent; duplicate=REFRESH_EXISTING
13,best productivity software,best-productivity-software,72.0,66.0,45,90,35,64.0,449.97,65.8,REFRESH,best list intent; duplicate=REFRESH_EXISTING
14,best ai image software,best-ai-image-software,71.0,66.0,45,90,35,63.0,414.36,65.2,REFRESH,best list intent; duplicate=REFRESH_EXISTING
15,best ai meeting software,best-ai-meeting-software,71.0,66.0,45,90,35,63.0,414.36,65.2,REFRESH,best list intent; duplicate=REFRESH_EXISTING
16,best ai search software,best-ai-search-software,71.0,66.0,45,90,35,63.0,414.36,65.2,REFRESH,best list intent; duplicate=REFRESH_EXISTING
17,best ai voice software,best-ai-voice-software,71.0,66.0,45,90,35,63.0,414.36,65.2,REFRESH,best list intent; duplicate=REFRESH_EXISTING
18,AI shakes SaaS as markets plunge and Korea races to reinvent software,ai-shakes-saas-as-markets-plunge-and-korea-races-to-reinvent-software,84.0,64.0,45,35,35,73.3,432.24,64.7,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
19,best productivity tools,best-productivity-tools,72.0,66.0,45,90,35,64.0,449.97,64.1,WATCH,best list intent; duplicate=REFRESH_EXISTING
20,12 Best AI for Coding Tools in 2026 (Vibecoding & Data Science),12-best-ai-for-coding-tools-in-2026-vibecoding-data-science,71.0,66.0,45,90,35,63.0,314.34,63.5,WATCH,best list intent; duplicate=REFRESH_EXISTING
21,best ai image tools,best-ai-image-tools,71.0,66.0,45,90,35,63.0,414.36,63.4,WATCH,best list intent; duplicate=REFRESH_EXISTING
22,best ai meeting tools,best-ai-meeting-tools,71.0,66.0,45,90,35,63.0,414.36,63.4,WATCH,best list intent; duplicate=REFRESH_EXISTING
23,Gradial Lands $65M Series C for Agentic Marketing Platform,gradial-lands-65m-series-c-for-agentic-marketing-platform,78.0,59.0,45,35,35,67.0,364.69,60.3,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
24,I signed up for another SaaS,i-signed-up-for-another-saas,78.0,59.0,45,35,35,67.0,364.69,60.3,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
25,How AI is upending SaaS tools,how-ai-is-upending-saas-tools,75.0,64.0,45,35,35,67.5,367.42,59.8,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
26,PayU Brings AI Coding And CLI Tools To Payment Developers,payu-brings-ai-coding-and-cli-tools-to-payment-developers,72.0,59.0,45,35,35,63.6,375.04,58.0,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
27,affordable ai design platform,affordable-ai-design-platform,72.0,54.0,45,35,35,60.4,397.26,56.8,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
28,affordable ai image platform,affordable-ai-image-platform,72.0,54.0,45,35,35,60.4,397.26,56.8,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
29,affordable ai meeting platform,affordable-ai-meeting-platform,72.0,54.0,45,35,35,60.4,397.26,56.8,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
30,affordable ai search platform,affordable-ai-search-platform,72.0,54.0,45,35,35,60.4,397.26,56.8,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
31,affordable ai voice platform,affordable-ai-voice-platform,72.0,54.0,45,35,35,60.4,397.26,56.8,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
32,"CMO Vision: AI Is Rewiring How Marketing Is Understood, Shaped And Scaled",cmo-vision-ai-is-rewiring-how-marketing-is-understood-shaped-and-scaled,68.0,46.0,45,35,35,57.8,340.84,56.0,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
33,"Impartner Redefines Partner Marketing Automation with Full Automation, AdTech and AI to Drive Measurable Revenue",impartner-redefines-partner-marketing-automation-with-full-automation-adtech-and-ai-to-drive-measurable-revenue,67.0,46.0,45,35,35,56.8,309.17,54.8,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
34,Search Marketing’s Insight Gap: When Automation Replaces Understanding,search-marketing-s-insight-gap-when-automation-replaces-understanding,67.0,46.0,45,35,35,56.8,309.17,54.8,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
35,Is SaaS dead?,is-saas-dead,73.0,54.0,45,35,35,61.5,334.76,54.7,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
36,AI-powered vibe coding is gaining ground in Nepal,ai-powered-vibe-coding-is-gaining-ground-in-nepal,66.0,46.0,45,35,35,55.7,277.92,54.2,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
37,The Future of Matrix Marketing: How AI and Environment Isolation are Replacing Legacy RPA,the-future-of-matrix-marketing-how-ai-and-environment-isolation-are-replacing-legacy-rpa,67.0,46.0,45,35,35,56.8,309.17,53.6,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
38,"Most AI Models Would Run Your Company Into the Ground, Princeton’s CEO-Bench Finds",most-ai-models-would-run-your-company-into-the-ground-princeton-s-ceo-bench-finds,67.0,46.0,45,35,35,56.8,309.17,51.9,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
39,"When An AI Agent Goes Rogue, Who Takes The Blame?",when-an-ai-agent-goes-rogue-who-takes-the-blame,67.0,46.0,45,35,35,56.8,309.17,51.9,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
40,Filum.ai,filum-ai,66.0,46.0,45,35,35,54.9,273.93,51.6,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
41,Agent Mode by Receiptor AI,agent-mode-by-receiptor-ai,66.0,46.0,45,35,35,55.7,277.92,51.3,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
42,Import AI 447: The AGI economy; testing AIs with generated games; and agent ecologies,import-ai-447-the-agi-economy-testing-ais-with-generated-games-and-agent-ecologies,66.0,46.0,45,35,35,55.7,277.92,51.3,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
43,The first big exit in AI,the-first-big-exit-in-ai,66.0,46.0,45,35,35,55.7,277.92,51.3,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
44,Ornith-1.0: self-improving open-source models for agentic coding,ornith-1-0-self-improving-open-source-models-for-agentic-coding,61.0,41.0,45,35,35,50.4,354.35,50.0,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
45,Ornith-1.0: Self-scaffolding LLMs for agentic coding,ornith-1-0-self-scaffolding-llms-for-agentic-coding,61.0,41.0,45,35,35,50.4,331.49,49.8,WATCH,evergreen intent; duplicate=REFRESH_EXISTING
