source_slug,source_url,target_slug,target_url,anchor_text,cluster,reason,priority
affordable-automation-platform,https://smileaireviewhub.com/affordable-automation-platform/,agency-agents-review-2026,https://smileaireviewhub.com/agency-agents-review-2026/,AI Automation,AI Automation,Child page should reinforce the cluster pillar.,Medium
agent-mode-by-receiptor-ai,https://smileaireviewhub.com/agent-mode-by-receiptor-ai/,agency-agents-review-2026,https://smileaireviewhub.com/agency-agents-review-2026/,AI Automation,AI Automation,Child page should reinforce the cluster pillar.,Medium
agent-reach-review-2026,https://smileaireviewhub.com/agent-reach-review-2026/,agency-agents-review-2026,https://smileaireviewhub.com/agency-agents-review-2026/,AI Automation,AI Automation,Child page should reinforce the cluster pillar.,High
ai-tools-in-2026-what-each-platform-does-best-in-real-world-workflows,https://smileaireviewhub.com/ai-tools-in-2026-what-each-platform-does-best-in-real-world-workflows/,agency-agents-review-2026,https://smileaireviewhub.com/agency-agents-review-2026/,AI Automation,AI Automation,Child page should reinforce the cluster pillar.,Medium
automation-software-comparison,https://smileaireviewhub.com/automation-software-comparison/,agency-agents-review-2026,https://smileaireviewhub.com/agency-agents-review-2026/,AI Automation,AI Automation,Child page should reinforce the cluster pillar.,High
best-automation-software,https://smileaireviewhub.com/best-automation-software/,agency-agents-review-2026,https://smileaireviewhub.com/agency-agents-review-2026/,AI Automation,AI Automation,Child page should reinforce the cluster pillar.,Medium
category-automation-tools,https://smileaireviewhub.com/category/automation-tools/,agency-agents-review-2026,https://smileaireviewhub.com/agency-agents-review-2026/,AI Automation,AI Automation,Child page should reinforce the cluster pillar.,Medium
compare-make-vs-zapier,https://smileaireviewhub.com/compare/make-vs-zapier/,agency-agents-review-2026,https://smileaireviewhub.com/agency-agents-review-2026/,AI Automation,AI Automation,Child page should reinforce the cluster pillar.,High
gradial-lands-65m-series-c-for-agentic-marketing-platform,https://smileaireviewhub.com/gradial-lands-65m-series-c-for-agentic-marketing-platform/,agency-agents-review-2026,https://smileaireviewhub.com/agency-agents-review-2026/,AI Automation,AI Automation,Child page should reinforce the cluster pillar.,Medium
imagekit-launches-creative-automation-with-ai-assist-to-help-teams-generate-on-brand-visuals-at-scale,https://smileaireviewhub.com/imagekit-launches-creative-automation-with-ai-assist-to-help-teams-generate-on-brand-visuals-at-scale/,agency-agents-review-2026,https://smileaireviewhub.com/agency-agents-review-2026/,AI Automation,AI Automation,Child page should reinforce the cluster pillar.,Medium
