page,title_or_slug,impressions,clicks,ctr,avg_position,cta_clicks,go_clicks,internal_links_count,priority_score,recommended_action
/,AI Tool Review Center - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,124,40,no_data_yet
/cursor/,"Cursor Review: Features, Pros, Cons, Pricing Notes",0,0,0.0,0.0,0,0,50,40,no_data_yet
/windsurf-review/,"Windsurf Review: Agent-Style AI Coding Workflow, Pros, Cons, and Alternatives - MS Smile AI Review Hub",0,0,0.0,0.0,0,0,52,40,no_data_yet
/comparisons/cursor-vs-windsurf/,Cursor vs Windsurf: Which AI coding tools should you choose? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,59,40,no_data_yet
/comparisons/copilot-vs-cursor/,Copilot vs Cursor: Enterprise Assistant or AI-First Coding Editor? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,50,40,no_data_yet
/best-ai-coding-tools-2026/,"Best AI Coding Tools 2026: Cursor, Windsurf, Copilot, and Practical Buying Advice - MS Smile AI Review Hub",0,0,0.0,0.0,0,0,56,40,no_data_yet
/blog/chatgpt-windsurf-codex-workflow/,ChatGPT Windsurf Codex Workflow - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,56,40,no_data_yet
/free-ai-coding-workflow-checklist/,Free AI Coding Workflow Checklist - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,16,40,no_data_yet
/about/,About MS Smile AI Review Hub - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,14,40,no_data_yet
/category/ai-coding-tools/,Best AI Coding Tools to Research Before You Buy - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,56,40,no_data_yet
/about-author/,About Author - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,48,10,monitor
/activecampaign/,"ActiveCampaign Review: Features, Pros, Cons, Pricing Notes",0,0,0.0,0.0,0,0,40,10,monitor
/adcreative-ai/,"AdCreative AI Review: Features, Pros, Cons, Pricing Notes",0,0,0.0,0.0,0,0,41,10,monitor
/aeo-action-plan/,AEO Action Plan - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,48,10,monitor
/affiliate-disclosure/,Affiliate Disclosure - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,14,10,monitor
/ahrefs-ai/,"Ahrefs AI Review: Features, Pros, Cons, Pricing Notes",0,0,0.0,0.0,0,0,50,10,monitor
/ai-app-builder-alternatives/,Best AI App Builder Alternatives for 2026 - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,55,10,monitor
/ai-app-builder-software-review/,AI App Builder Software Review: Research-Style Review for 2026 - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,56,10,monitor
/ai-assistant-alternatives/,Best AI Assistant Alternatives for 2026 - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,55,10,monitor
/ai-assistant-software-review/,AI Assistant Software Review: Research-Style Review for 2026 - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,56,10,monitor
/ai-coding-alternatives/,Best AI Coding Alternatives for 2026 - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,53,10,monitor
/ai-coding-software-review/,AI Coding Software Review: Research-Style Review for 2026 - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,54,10,monitor
/ai-design-alternatives/,Best AI Design Alternatives for 2026 - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,54,10,monitor
/ai-image-alternatives/,Best AI Image Alternatives for 2026 - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,54,10,monitor
/ai-image-software-review/,AI Image Software Review: Research-Style Review for 2026 - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,56,10,monitor
/ai-meeting-alternatives/,Best AI Meeting Alternatives for 2026 - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,54,10,monitor
/ai-meeting-software-review/,AI Meeting Software Review: Research-Style Review for 2026 - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,56,10,monitor
/ai-productivity-alternatives/,Best AI Productivity Alternatives for 2026 - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,55,10,monitor
/ai-productivity-software-review/,AI Productivity Software Review: Research-Style Review for 2026 - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,56,10,monitor
/ai-search-alternatives/,Best AI Search Alternatives for 2026 - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,54,10,monitor
/ai-search-software-review/,AI Search Software Review: Research-Style Review for 2026 - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,56,10,monitor
/ai-seo-alternatives/,Best AI SEO Alternatives for 2026 - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,57,10,monitor
/ai-seo-software-review/,AI SEO Software Review: Research-Style Review for 2026 - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,57,10,monitor
/ai-video-alternatives/,Best AI Video Alternatives for 2026 - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,57,10,monitor
/ai-voice-alternatives/,Best AI Voice Alternatives for 2026 - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,54,10,monitor
/ai-voice-software-review/,AI Voice Software Review: Research-Style Review for 2026 - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,56,10,monitor
/ai-writing-alternatives/,Best AI Writing Alternatives for 2026 - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,56,10,monitor
/author-profile/,Author Profile - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,48,10,monitor
/automation-alternatives/,Best Automation Alternatives for 2026 - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,50,10,monitor
/automation-software-review/,Automation Software Review: Research-Style Review for 2026 - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,54,10,monitor
/best-ai-automation-tools-2026/,Best AI Automation Tools 2026 - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,59,10,monitor
/best-ai-automation-tools/,Best AI Automation Tools - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,53,10,monitor
/best-ai-coding-tools/,Best AI Coding Tools - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,53,10,monitor
/best-ai-presentation-tools/,Best AI Presentation Tools - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,52,10,monitor
/best-ai-seo-tools-2026/,Best AI SEO Tools 2026 - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,61,10,monitor
/best-ai-seo-tools/,Best AI SEO Tools - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,55,10,monitor
/best-ai-tools/,Best AI Tools - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,63,10,monitor
/best-ai-video-tools-2026/,Best AI Video Tools 2026 - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,58,10,monitor
/best-ai-video-tools/,Best AI Video Tools - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,53,10,monitor
/best-ai-writing-tools-2026/,Best AI Writing Tools 2026 - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,60,10,monitor
/best-ai-writing-tools/,Best AI Writing Tools - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,55,10,monitor
/best-crm-tools/,Best CRM Tools - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,53,10,monitor
/best-website-builders/,Best Website Builders - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,52,10,monitor
/blog/,Blog - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,64,10,monitor
/blog/ai-productivity-tools/,AI Productivity Tools - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,52,10,monitor
/blog/ai-tools-for-content-creators/,AI Tools for Content Creators - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,51,10,monitor
/blog/ai-tools-for-marketers/,AI Tools for Marketers - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,51,10,monitor
/blog/ai-tools-under-20-month/,AI Tools Under $20/month - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,51,10,monitor
/blog/ai-website-builders-comparison/,AI Website Builders Comparison - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,53,10,monitor
/blog/automation-tools-for-beginners/,Automation Tools for Beginners - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,52,10,monitor
/blog/best-ai-presentation-tools/,Best AI Presentation Tools - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,51,10,monitor
/blog/best-ai-tools-for-small-business/,Best AI Tools for Small Business - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,51,10,monitor
/blog/best-ai-voice-generators/,Best AI Voice Generators - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,53,10,monitor
/blog/best-alternatives-to-canva-ai/,Best Alternatives to Canva AI - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,52,10,monitor
/blog/best-crm-for-startups/,Best CRM for Startups - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,52,10,monitor
/blog/chatgpt-prompts-for-windsurf/,ChatGPT Prompts for Windsurf - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,57,10,monitor
/blog/fix-windsurf-mixed-language/,Fix Windsurf Mixed Language Issues - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,53,10,monitor
/blog/how-to-choose-saas-tools-safely/,How to Choose SaaS Tools Safely - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,51,10,monitor
/blog/windsurf-prompt-checklist/,Windsurf Prompt Checklist - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,53,10,monitor
/blog/windsurf-to-codex-workflow/,Windsurf to Codex Workflow - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,54,10,monitor
/bolt/,"Bolt Review: Features, Pros, Cons, Pricing Notes",0,0,0.0,0.0,0,0,42,10,monitor
/canva/,"Canva Review: Features, Pros, Cons, Pricing Notes",0,0,0.0,0.0,0,0,46,10,monitor
/categories/,Categories - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,58,10,monitor
/category/ai-automation-tools/,AI Automation Tools - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,58,10,monitor
/category/ai-customer-support-tools/,AI Customer Support Tools - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,58,10,monitor
/category/ai-presentation-tools/,AI Presentation Tools - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,58,10,monitor
/category/ai-seo-tools/,AI SEO Tools - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,63,10,monitor
/category/ai-video-tools/,AI Video Tools - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,60,10,monitor
/category/ai-voice-tools/,AI Voice Tools - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,58,10,monitor
/category/ai-writing-tools/,AI Writing Tools - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,62,10,monitor
/category/ai-writing/,AI Writing - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,84,10,monitor
/category/automation-tools/,Best Automation Tools to Research Before You Buy - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,57,10,monitor
/category/automation/,Automation - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,61,10,monitor
/category/crm-tools/,CRM Tools - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,60,10,monitor
/category/crm/,CRM - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,60,10,monitor
/category/design-tools/,Best Design Tools to Research Before You Buy - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,60,10,monitor
/category/email-marketing-tools/,Best Email Marketing Tools to Research Before You Buy - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,59,10,monitor
/category/seo-tools/,Best SEO Tools to Research Before You Buy - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,60,10,monitor
/category/video-tools/,Best Video Tools to Research Before You Buy - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,59,10,monitor
/category/website-builder-tools/,Best Website Builder Tools to Research Before You Buy - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,57,10,monitor
/category/website-builders/,Website Builders - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,60,10,monitor
/category/writing-tools/,Best Writing Tools to Research Before You Buy - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,60,10,monitor
/chatgpt/,"ChatGPT Review: Features, Pros, Cons, Pricing Notes",0,0,0.0,0.0,0,0,53,10,monitor
/claude/,"Claude Review: Features, Pros, Cons, Pricing Notes",0,0,0.0,0.0,0,0,53,10,monitor
/cloud-development-alternatives/,Best Cloud Development Alternatives for 2026 - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,50,10,monitor
/cloud-development-software-review/,Cloud Development Software Review: Research-Style Review for 2026 - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,52,10,monitor
/compare/activecampaign-vs-mailchimp/,ActiveCampaign vs Mailchimp: Which email marketing platforms should you choose? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,53,10,monitor
/compare/canva-vs-adcreative-ai/,Canva vs AdCreative AI: Which AI design and ad creative tools should you choose? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,51,10,monitor
/compare/cursor-vs-github-copilot/,Cursor vs GitHub Copilot: Which AI coding assistants should you choose? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,49,10,monitor
/compare/cursor-vs-windsurf/,Cursor vs Windsurf: Which AI coding editors should you choose? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,49,10,monitor
/compare/github-copilot-vs-codeium/,GitHub Copilot vs Codeium: Which AI coding assistants should you choose? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,49,10,monitor
/compare/grammarly-vs-quillbot/,Grammarly vs QuillBot: Which AI writing assistants should you choose? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,52,10,monitor
/compare/jasper-vs-copy-ai/,Jasper vs Copy.ai: Which AI writing tools should you choose? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,53,10,monitor
/compare/make-vs-zapier/,Make vs Zapier: Which automation platforms should you choose? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,52,10,monitor
/compare/semrush-vs-ahrefs/,Semrush vs Ahrefs: Which SEO platforms should you choose? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,52,10,monitor
/compare/synthesia-vs-pictory/,Synthesia vs Pictory: Which AI video tools should you choose? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,53,10,monitor
/comparisons/,Comparisons - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,89,10,monitor
/comparisons/canva-vs-adobe-express/,Canva vs Adobe Express: Which Tool Should You Choose in 2026? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,51,10,monitor
/comparisons/canva-vs-gamma/,Canva vs Gamma: Which AI design and presentation tools should you choose? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,62,10,monitor
/comparisons/chatgpt-vs-claude/,ChatGPT vs Claude: Which AI assistants should you choose? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,60,10,monitor
/comparisons/chatgpt-vs-gemini/,ChatGPT vs Gemini: Which AI assistants should you choose? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,60,10,monitor
/comparisons/chatgpt-vs-perplexity/,ChatGPT vs Perplexity: Which AI assistants and research tools should you choose? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,61,10,monitor
/comparisons/claude-vs-gemini/,Claude vs Gemini: Which AI assistants should you choose? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,60,10,monitor
/comparisons/claude-vs-perplexity/,Claude vs Perplexity: Which AI research tools should you choose? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,60,10,monitor
/comparisons/codex-vs-openclaw/,Codex vs OpenClaw: Which AI Coding Tool Fits Real Development Workflows? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,52,10,monitor
/comparisons/copilot-vs-codex/,Copilot vs Codex: Practical Comparison for Real Developers and AI Builders - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,51,10,monitor
/comparisons/copilot-vs-tabnine/,GitHub Copilot vs Tabnine - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,49,10,monitor
/comparisons/cursor-vs-copilot/,Cursor vs GitHub Copilot: Which Tool Should You Choose in 2026? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,50,10,monitor
/comparisons/cursor-vs-github-copilot/,Cursor vs GitHub Copilot: Which AI coding tools should you choose? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,59,10,monitor
/comparisons/cursor-vs-vscode/,Cursor vs VS Code - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,51,10,monitor
/comparisons/elevenlabs-vs-murf/,ElevenLabs vs Murf: Which AI voice tools should you choose? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,62,10,monitor
/comparisons/elevenlabs-vs-playht/,ElevenLabs vs PlayHT - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,51,10,monitor
/comparisons/framer-vs-webflow/,Framer vs Webflow - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,54,10,monitor
/comparisons/gemini-vs-claude/,Gemini vs Claude - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,53,10,monitor
/comparisons/hubspot-vs-salesforce/,HubSpot vs Salesforce - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,52,10,monitor
/comparisons/jasper-vs-copy-ai/,Jasper vs Copy.ai: Which AI writing tools should you choose? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,63,10,monitor
/comparisons/jasper-vs-copyai/,Jasper vs Copy.ai - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,55,10,monitor
/comparisons/lovable-vs-bolt/,Lovable vs Bolt: Which AI app builders should you choose? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,63,10,monitor
/comparisons/make-vs-zapier/,Make vs Zapier: Which automation platforms should you choose? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,64,10,monitor
/comparisons/midjourney-vs-dalle/,Midjourney vs DALL-E - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,51,10,monitor
/comparisons/notion-ai-vs-chatgpt/,Notion AI vs ChatGPT - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,54,10,monitor
/comparisons/notion-ai-vs-clickup-ai/,Notion AI vs ClickUp AI: Which AI productivity tools should you choose? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,62,10,monitor
/comparisons/notion-vs-clickup/,Notion vs ClickUp - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,54,10,monitor
/comparisons/perplexity-vs-chatgpt/,Perplexity vs ChatGPT - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,53,10,monitor
/comparisons/replit-vs-cursor/,Replit vs Cursor: Which AI coding tools should you choose? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,60,10,monitor
/comparisons/runway-vs-pika/,Runway vs Pika: Which AI video tools should you choose? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,64,10,monitor
/comparisons/semrush-vs-ahrefs/,Semrush vs Ahrefs: Which SEO platforms should you choose? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,62,10,monitor
/comparisons/surfer-seo-vs-frase/,Surfer SEO vs Frase: Which AI SEO content tools should you choose? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,62,10,monitor
/comparisons/synthesia-vs-heygen/,Synthesia vs HeyGen - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,53,10,monitor
/comparisons/synthesia-vs-runway/,Synthesia vs Runway - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,53,10,monitor
/comparisons/windsurf-vs-copilot/,Windsurf vs GitHub Copilot: Which Tool Should You Choose in 2026? - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,51,10,monitor
/contact/,Contact - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,47,10,monitor
/copy-ai/,"Copy.ai Review: Features, Pros, Cons, Pricing Notes",0,0,0.0,0.0,0,0,53,10,monitor
/cursor-ai-review-a-practical-guide-for-developers-and-ai-coders/,Cursor Ai Review: A Practical Guide for Developers And Ai Coders - AI Tool Review Hub,0,0,0.0,0.0,0,0,48,10,monitor
/cursor-pricing/,Pricing Cursor: những điểm cần kiểm tra trước khi mua - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,46,10,monitor
/descript/,"Descript Review: Features, Pros, Cons, Pricing Notes",0,0,0.0,0.0,0,0,53,10,monitor
/disclosure/,Disclosure - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,51,10,monitor
/downloads/ai-coding-workflow-checklist/,AI Coding Workflow Checklist - MS Smile AI Review Hub,0,0,0.0,0.0,0,0,15,10,monitor
