cluster,article_count,indexed_count,internal_link_count,impressions,clicks,average_position,authority_score,content_gap_score
Comparisons,3,0,9,0.0,0.0,0,12.0,88.0
AI Video,11,0,33,0.0,0.0,0,44.0,56.0
AI Search,14,0,42,0.0,0.0,0,56.0,44.0
AI Writing,16,0,48,0.0,0.0,0,64.0,36.0
AI Image,17,0,51,0.0,0.0,0,68.0,32.0
AI Productivity,17,0,51,0.0,0.0,0,68.0,32.0
AI SEO,23,0,69,0.0,0.0,0,92.0,8.0
AI Coding,27,0,81,0.0,0.0,0,100,0
SaaS Reviews,65,0,195,0.0,0.0,0,100,0
AI Automation,26,0,78,0.0,0.0,0,100,0
Reviews,55,0,165,0.0,0.0,0,100,0
