topic,slug,matched_slug,matched_url,title_similarity,slug_similarity,keyword_similarity,duplicate_score,decision,reason
ai-berkshire Review 2026,ai-berkshire-review-2026,ai-berkshire-review-2026,https://smileaireviewhub.com/ai-berkshire-review-2026/,100.0,100.0,100.0,100.0,REFRESH_EXISTING,Existing page is a close match
"Tavant debuts agentic AI platform for software engineering, automation",tavant-debuts-agentic-ai-platform-for-software-engineering-automation,tavant-debuts-agentic-ai-platform-for-software-engineering-automation,https://smileaireviewhub.com/tavant-debuts-agentic-ai-platform-for-software-engineering-automation/,100.0,100.0,100.0,100.0,REFRESH_EXISTING,Existing page is a close match
free-for-dev Review 2026,free-for-dev-review-2026,free-for-dev-review-2026,https://smileaireviewhub.com/free-for-dev-review-2026/,100.0,100.0,100.0,100.0,REFRESH_EXISTING,Existing page is a close match
AI shakes SaaS as markets plunge and Korea races to reinvent software,ai-shakes-saas-as-markets-plunge-and-korea-races-to-reinvent-software,ai-shakes-saas-as-markets-plunge-and-korea-races-to-reinvent-software,https://smileaireviewhub.com/ai-shakes-saas-as-markets-plunge-and-korea-races-to-reinvent-software/,100.0,100.0,100.0,100.0,REFRESH_EXISTING,Existing page is a close match
agency-agents Review 2026,agency-agents-review-2026,agency-agents-review-2026,https://smileaireviewhub.com/agency-agents-review-2026/,100.0,100.0,100.0,100.0,REFRESH_EXISTING,Existing page is a close match
affordable ai design platform,affordable-ai-design-platform,affordable-ai-design-platform,https://smileaireviewhub.com/affordable-ai-design-platform/,100.0,100.0,100.0,100.0,REFRESH_EXISTING,Existing page is a close match
affordable ai image platform,affordable-ai-image-platform,affordable-ai-image-platform,https://smileaireviewhub.com/affordable-ai-image-platform/,100.0,100.0,100.0,100.0,REFRESH_EXISTING,Existing page is a close match
affordable ai meeting platform,affordable-ai-meeting-platform,affordable-ai-meeting-platform,https://smileaireviewhub.com/affordable-ai-meeting-platform/,100.0,100.0,100.0,100.0,REFRESH_EXISTING,Existing page is a close match
affordable ai search platform,affordable-ai-search-platform,affordable-ai-search-platform,https://smileaireviewhub.com/affordable-ai-search-platform/,100.0,100.0,100.0,100.0,REFRESH_EXISTING,Existing page is a close match
affordable ai voice platform,affordable-ai-voice-platform,affordable-ai-voice-platform,https://smileaireviewhub.com/affordable-ai-voice-platform/,100.0,100.0,100.0,100.0,REFRESH_EXISTING,Existing page is a close match
logto Review 2026,logto-review-2026,logto-review-2026,https://smileaireviewhub.com/logto-review-2026/,100.0,100.0,100.0,100.0,REFRESH_EXISTING,Existing page is a close match
VulnClaw Review 2026,vulnclaw-review-2026,vulnclaw-review-2026,https://smileaireviewhub.com/vulnclaw-review-2026/,100.0,100.0,100.0,100.0,REFRESH_EXISTING,Existing page is a close match
best ai productivity software,best-ai-productivity-software,best-ai-productivity-software,https://smileaireviewhub.com/best-ai-productivity-software/,100.0,100.0,100.0,100.0,REFRESH_EXISTING,Existing page is a close match
AI coding tokens could soon cost as much as salaries,ai-coding-tokens-could-soon-cost-as-much-as-salaries,ai-coding-tokens-could-soon-cost-as-much-as-salaries,https://smileaireviewhub.com/ai-coding-tokens-could-soon-cost-as-much-as-salaries/,100.0,100.0,100.0,100.0,REFRESH_EXISTING,Existing page is a close match
council-of-high-intelligence Review 2026,council-of-high-intelligence-review-2026,council-of-high-intelligence-review-2026,https://smileaireviewhub.com/council-of-high-intelligence-review-2026/,100.0,100.0,100.0,100.0,REFRESH_EXISTING,Existing page is a close match
cupy Review 2026,cupy-review-2026,cupy-review-2026,https://smileaireviewhub.com/cupy-review-2026/,100.0,100.0,100.0,100.0,REFRESH_EXISTING,Existing page is a close match
