date,time,platform,language,post_title,content_file,target_url,status
2026-05-17,07:30,linkedin,en,Day 01 Build in public - linkedin en,social_assets/30_day_plan/day-01-0730-en-linkedin.md,https://smileaireviewhub.com/free-ai-coding-workflow-checklist/,pending_review
2026-05-17,20:30,facebook,vi,Day 01 Build in public - facebook vi,social_assets/30_day_plan/day-01-2030-vi-facebook.md,https://smileaireviewhub.com/vi/free-ai-coding-workflow-checklist/,pending_review
2026-05-18,07:30,linkedin,en,Day 02 Windsurf vs Cursor - linkedin en,social_assets/30_day_plan/day-02-0730-en-linkedin.md,https://smileaireviewhub.com/free-ai-coding-workflow-checklist/,pending_review
2026-05-18,20:30,facebook,vi,Day 02 Windsurf vs Cursor - facebook vi,social_assets/30_day_plan/day-02-2030-vi-facebook.md,https://smileaireviewhub.com/vi/free-ai-coding-workflow-checklist/,pending_review
2026-05-19,07:30,linkedin,en,Day 03 Codex fixing real bugs - linkedin en,social_assets/30_day_plan/day-03-0730-en-linkedin.md,https://smileaireviewhub.com/free-ai-coding-workflow-checklist/,pending_review
2026-05-19,20:30,facebook,vi,Day 03 Codex fixing real bugs - facebook vi,social_assets/30_day_plan/day-03-2030-vi-facebook.md,https://smileaireviewhub.com/vi/free-ai-coding-workflow-checklist/,pending_review
2026-05-20,07:30,linkedin,en,Day 04 SEO mistakes - linkedin en,social_assets/30_day_plan/day-04-0730-en-linkedin.md,https://smileaireviewhub.com/free-ai-coding-workflow-checklist/,pending_review
2026-05-20,20:30,facebook,vi,Day 04 SEO mistakes - facebook vi,social_assets/30_day_plan/day-04-2030-vi-facebook.md,https://smileaireviewhub.com/vi/free-ai-coding-workflow-checklist/,pending_review
2026-05-21,07:30,linkedin,en,Day 05 GitHub Pages deployment - linkedin en,social_assets/30_day_plan/day-05-0730-en-linkedin.md,https://smileaireviewhub.com/free-ai-coding-workflow-checklist/,pending_review
2026-05-21,20:30,facebook,vi,Day 05 GitHub Pages deployment - facebook vi,social_assets/30_day_plan/day-05-2030-vi-facebook.md,https://smileaireviewhub.com/vi/free-ai-coding-workflow-checklist/,pending_review
2026-05-22,07:30,linkedin,en,Day 06 Hreflang and canonical - linkedin en,social_assets/30_day_plan/day-06-0730-en-linkedin.md,https://smileaireviewhub.com/free-ai-coding-workflow-checklist/,pending_review
2026-05-22,20:30,facebook,vi,Day 06 Hreflang and canonical - facebook vi,social_assets/30_day_plan/day-06-2030-vi-facebook.md,https://smileaireviewhub.com/vi/free-ai-coding-workflow-checklist/,pending_review
2026-05-23,07:30,linkedin,en,Day 07 Sitemap checks - linkedin en,social_assets/30_day_plan/day-07-0730-en-linkedin.md,https://smileaireviewhub.com/free-ai-coding-workflow-checklist/,pending_review
2026-05-23,20:30,facebook,vi,Day 07 Sitemap checks - facebook vi,social_assets/30_day_plan/day-07-2030-vi-facebook.md,https://smileaireviewhub.com/vi/free-ai-coding-workflow-checklist/,pending_review
