slug,reason,priority,suggested_action,expected_impact
12-best-ai-for-coding-tools-in-2026-vibecoding-data-science,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
affordable-ai-design-platform,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
affordable-ai-image-platform,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
affordable-ai-meeting-platform,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
affordable-ai-search-platform,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
affordable-ai-voice-platform,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
agency-agents-review-2026,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
agent-mode-by-receiptor-ai,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
ai-berkshire-review-2026,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
ai-coding-tokens-could-soon-cost-as-much-as-salaries,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
ai-powered-vibe-coding-is-gaining-ground-in-nepal,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
ai-shakes-saas-as-markets-plunge-and-korea-races-to-reinvent-software,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
best-ai-image-software,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
best-ai-image-tools,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
best-ai-meeting-software,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
best-ai-meeting-tools,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
best-ai-productivity-software,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
best-ai-search-software,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
best-ai-voice-software,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
best-productivity-software,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
best-productivity-tools,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
cmo-vision-ai-is-rewiring-how-marketing-is-understood-shaped-and-scaled,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
council-of-high-intelligence-review-2026,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
cupy-review-2026,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
filum-ai,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
free-for-dev-review-2026,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
gradial-lands-65m-series-c-for-agentic-marketing-platform,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
how-ai-is-upending-saas-tools,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
i-signed-up-for-another-saas,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
impartner-redefines-partner-marketing-automation-with-full-automation-adtech-and-ai-to-drive-measurable-revenue,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
import-ai-447-the-agi-economy-testing-ais-with-generated-games-and-agent-ecologies,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
is-saas-dead,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
logto-review-2026,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
most-ai-models-would-run-your-company-into-the-ground-princeton-s-ceo-bench-finds,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
open-ai-delayed-gpt-5-6-after-a-u-s-government-review-request-is-ai-regulation-becoming-the-new-normal,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
payu-brings-ai-coding-and-cli-tools-to-payment-developers,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
search-marketing-s-insight-gap-when-automation-replaces-understanding,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
tavant-debuts-agentic-ai-platform-for-software-engineering-automation,Missing YouTube video,Medium,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
