post_id,platform,target_url,hook,bullets,hashtags,output_path,status
seed-01-linkedin,LinkedIn,https://smileaireviewhub.com/comparisons/cursor-vs-copilot/,Cursor vs Copilot is not just editor vs autocomplete.,"Cursor wins when repo context matters. | Copilot is easier for conservative team rollout. | Test both on a real bug, not a demo prompt.",#AICoding #Cursor #GitHubCopilot,D:\AFFILATE BOT\draft_output\social_seed\seed-01-linkedin.md,Draft - copy ready
seed-02-facebook,Facebook,https://smileaireviewhub.com/comparisons/windsurf-vs-copilot/,Mình không còn đánh giá AI coding tool bằng demo đẹp nữa.,Windsurf nhanh khi dựng cấu trúc thô. | Copilot ổn cho autocomplete nhẹ. | Dự án lớn vẫn cần review kỹ từng diff.,#AICoding #Windsurf #Copilot,D:\AFFILATE BOT\draft_output\social_seed\seed-02-facebook.md,Draft - copy ready
seed-03-telegram,Telegram,https://smileaireviewhub.com/best-ai-coding-tools-2026/,AI coding stack thực chiến:,Windsurf để scaffold nhanh. | Cursor để iterate trong repo sạch. | Copilot cho autocomplete nhẹ.,#AICoding #SoloBuilder,D:\AFFILATE BOT\draft_output\social_seed\seed-03-telegram.md,Draft - copy ready
seed-04-linkedin,LinkedIn,https://smileaireviewhub.com/best-ai-seo-tools-2026/,AI SEO tools are useful only when humans still verify the SERP logic.,Use tools for briefs and checks. | Do not publish blindly from AI output. | Compare workflow fit before subscription cost.,#SEO #AITools #ContentOps,D:\AFFILATE BOT\draft_output\social_seed\seed-04-linkedin.md,Draft - copy ready
seed-05-facebook,Facebook,https://smileaireviewhub.com/best-ai-writing-tools-2026/,AI writing tool tốt không phải tool viết nhiều nhất.,"Nó phải giúp outline rõ hơn. | Giảm thời gian edit, không tăng rác nội dung. | Vẫn cần disclosure và kiểm chứng.",#AIWriting #ContentMarketing,D:\AFFILATE BOT\draft_output\social_seed\seed-05-facebook.md,Draft - copy ready
seed-06-telegram,Telegram,https://smileaireviewhub.com/best-ai-video-tools-2026/,AI video tools nên test bằng workflow thật.,Avatar video khác generative video. | Editing workflow khác social asset workflow. | Đừng mua chỉ vì demo đẹp.,#AIVideo #SaaS,D:\AFFILATE BOT\draft_output\social_seed\seed-06-telegram.md,Draft - copy ready
seed-07-linkedin,LinkedIn,https://smileaireviewhub.com/best-ai-automation-tools-2026/,Automation tools fail quietly if you do not design for errors.,Check retry behavior. | Check logging and handoff. | Start with one small workflow before scaling.,#Automation #NoCode #SaaS,D:\AFFILATE BOT\draft_output\social_seed\seed-07-linkedin.md,Draft - copy ready
seed-08-facebook,Facebook,https://smileaireviewhub.com/review/cursor/,Cursor mạnh nhất khi repo đã có cấu trúc sạch.,"Đừng kỳ vọng nó sửa mọi thứ bằng một prompt. | Dùng tốt nhất cho debug, refactor nhỏ, iterate nhanh. | Repo lộn xộn thì vẫn cần chia task nhỏ.",#Cursor #AICoding,D:\AFFILATE BOT\draft_output\social_seed\seed-08-facebook.md,Draft - copy ready
seed-09-telegram,Telegram,https://smileaireviewhub.com/review/semrush/,"Semrush nên được xem như research suite, không chỉ keyword tool.",Kiểm tra competitor. | Đối chiếu nội dung với intent. | Đừng bỏ qua cost và team workflow.,#SEO #Semrush,D:\AFFILATE BOT\draft_output\social_seed\seed-09-telegram.md,Draft - copy ready
seed-10-linkedin,LinkedIn,https://smileaireviewhub.com/comparisons/canva-vs-adobe-express/,Canva vs Adobe Express is mostly a workflow decision.,"Canva is faster for lightweight marketing teams. | Adobe Express fits better if Adobe is already in the stack. | Compare output speed, brand control, and pricing.",#DesignTools #Canva #Marketing,D:\AFFILATE BOT\draft_output\social_seed\seed-10-linkedin.md,Draft - copy ready
