rank,topic,slug,decision,reason,final_score,money_score,trend_score,affiliate_score,competition_score,content_gap_score,internal_link_score,impression_score,ctr_score,youtube_score,social_score,article_type,priority,article_url,youtube_action
1,Free For Dev Review Pricing 2026,free-for-dev-review-pricing-2026,WRITE_NOW,Weekly cluster deep dive derived from free-for-dev Review 2026.,59.1,59.1,67.0,63.0,63.0,0.0,45.0,71.2,50,82.0,60.1,pricing,P4,https://smileaireviewhub.com/free-for-dev-review-pricing-2026/,OPTIONAL
2,AI Berkshire Review Alternatives 2026,ai-berkshire-review-alternatives-2026,WRITE_NOW,Weekly cluster deep dive derived from ai-berkshire Review 2026.,58.8,58.8,66.0,63.0,63.0,0.0,45.0,69.5,50,81.0,62.5,alternatives,P4,https://smileaireviewhub.com/ai-berkshire-review-alternatives-2026/,OPTIONAL
3,Agency Agents Review Comparison 2026,agency-agents-review-comparison-2026,WRITE_NOW,Weekly cluster deep dive derived from agency-agents Review 2026.,58.6,58.6,66.0,63.0,63.0,0.0,45.0,69.5,50,81.0,59.9,comparison,P4,https://smileaireviewhub.com/agency-agents-review-comparison-2026/,OPTIONAL
4,Logto Review Tutorial 2026,logto-review-tutorial-2026,WRITE_NOW,Weekly cluster deep dive derived from logto Review 2026.,57.1,57.1,60.0,63.0,63.0,0.0,45.0,65.9,50,77.0,57.4,tutorial,P4,https://smileaireviewhub.com/logto-review-tutorial-2026/,OPTIONAL
5,Vulnclaw Review FAQ 2026,vulnclaw-review-faq-2026,WRITE_NOW,Weekly cluster deep dive derived from VulnClaw Review 2026.,57.1,57.1,60.0,63.0,63.0,0.0,45.0,65.5,50,77.0,57.4,faq,P4,https://smileaireviewhub.com/vulnclaw-review-faq-2026/,OPTIONAL
6,Council Of High Intelligence Review Pricing 2026,council-of-high-intelligence-review-pricing-2026,WRITE_NOW,Weekly cluster deep dive derived from council-of-high-intelligence Review 2026.,56.3,56.3,62.0,58.0,63.0,0.0,45.0,67.4,50,78.0,57.5,pricing,P4,https://smileaireviewhub.com/council-of-high-intelligence-review-pricing-2026/,OPTIONAL
7,Cupy Review Alternatives 2026,cupy-review-alternatives-2026,WRITE_NOW,Weekly cluster deep dive derived from cupy Review 2026.,56.0,56.0,62.0,58.0,63.0,0.0,45.0,66.0,50,78.0,57.5,alternatives,P4,https://smileaireviewhub.com/cupy-review-alternatives-2026/,OPTIONAL
8,Best AI Search Software Comparison 2026,best-ai-search-software-comparison-2026,WRITE_NOW,Weekly cluster deep dive derived from best ai search software.,55.7,55.7,56.0,66.0,41.0,44.0,45.0,57.1,50,64.0,54.4,comparison,P4,https://smileaireviewhub.com/best-ai-search-software-comparison-2026/,OPTIONAL
9,"Tavant Debuts Agentic AI Platform For Software Engineering, Automation Tutorial 2026",tavant-debuts-agentic-ai-platform-for-software-engineering-automation-tutorial-2026,WRITE_NOW,"Weekly cluster deep dive derived from Tavant debuts agentic AI platform for software engineering, automation.",55.6,55.6,46.0,64.0,53.0,0.0,90.0,53.9,50,68.0,56.6,tutorial,P4,https://smileaireviewhub.com/tavant-debuts-agentic-ai-platform-for-software-engineering-automation-tutorial-2026/,OPTIONAL
10,Affordable AI Search Platform FAQ 2026,affordable-ai-search-platform-faq-2026,WRITE_NOW,Weekly cluster deep dive derived from affordable ai search platform.,55.0,55.0,55.0,54.0,53.0,44.0,45.0,61.0,50,74.0,57.0,faq,P4,https://smileaireviewhub.com/affordable-ai-search-platform-faq-2026/,OPTIONAL
