rank,topic,slug,intent,seo_score,traffic_score,buyer_intent_score,revenue_score,competition_score,freshness_score,video_score,social_score,total_score,reason
1,ai-berkshire Review 2026,ai-berkshire-review-2026,review,54.4,69.5,77.0,68.1,63.0,66.0,81.0,62.5,89.4,commercial keyword; high buyer intent; strong affiliate value
2,"Tavant debuts agentic AI platform for software engineering, automation",tavant-debuts-agentic-ai-platform-for-software-engineering-automation,evergreen,67.3,53.9,83.0,72.5,53.0,46.0,68.0,56.6,87.1,high buyer intent; strong affiliate value
3,free-for-dev Review 2026,free-for-dev-review-2026,review,54.7,71.2,78.0,69.4,63.0,67.0,82.0,60.1,86.7,commercial keyword; high buyer intent; strong affiliate value
4,AI shakes SaaS as markets plunge and Korea races to reinvent software,ai-shakes-saas-as-markets-plunge-and-korea-races-to-reinvent-software,evergreen,51.5,55.3,84.0,73.5,53.0,46.0,68.0,54.6,86.6,high buyer intent; strong affiliate value
5,agency-agents Review 2026,agency-agents-review-2026,review,54.4,69.5,77.0,68.1,63.0,66.0,81.0,59.9,85.6,commercial keyword; high buyer intent; strong affiliate value
6,affordable ai design platform,affordable-ai-design-platform,evergreen,49.4,61.0,72.0,59.1,53.0,55.0,74.0,57.0,84.2,high buyer intent
7,affordable ai image platform,affordable-ai-image-platform,evergreen,49.4,61.0,72.0,59.1,53.0,55.0,74.0,57.0,84.2,high buyer intent
8,affordable ai meeting platform,affordable-ai-meeting-platform,evergreen,49.4,61.0,72.0,59.1,53.0,55.0,74.0,57.0,84.2,high buyer intent
9,affordable ai search platform,affordable-ai-search-platform,evergreen,49.4,61.0,72.0,59.1,53.0,55.0,74.0,57.0,84.2,high buyer intent
10,affordable ai voice platform,affordable-ai-voice-platform,evergreen,49.4,61.0,72.0,59.1,53.0,55.0,74.0,57.0,84.2,high buyer intent
11,logto Review 2026,logto-review-2026,review,54.1,65.9,78.0,69.4,63.0,60.0,77.0,57.4,83.7,commercial keyword; high buyer intent; strong affiliate value
12,VulnClaw Review 2026,vulnclaw-review-2026,review,53.7,65.5,78.0,69.4,63.0,60.0,77.0,57.4,83.5,commercial keyword; high buyer intent; strong affiliate value
13,best ai productivity software,best-ai-productivity-software,best list,44.2,58.5,72.0,66.1,41.0,56.0,64.0,54.6,82.2,commercial keyword; high buyer intent; strong affiliate value
14,AI coding tokens could soon cost as much as salaries,ai-coding-tokens-could-soon-cost-as-much-as-salaries,pricing,60.8,56.1,74.0,62.7,53.0,46.0,68.0,54.2,82.2,high buyer intent
15,council-of-high-intelligence Review 2026,council-of-high-intelligence-review-2026,review,52.8,67.4,73.0,63.2,63.0,62.0,78.0,57.5,82.1,commercial keyword; high buyer intent
16,cupy Review 2026,cupy-review-2026,review,52.5,66.0,72.0,62.2,63.0,62.0,78.0,57.5,81.3,commercial keyword; high buyer intent
17,best ai image software,best-ai-image-software,best list,43.5,57.1,71.0,64.9,41.0,56.0,64.0,54.4,81.2,commercial keyword; high buyer intent
18,best ai meeting software,best-ai-meeting-software,best list,43.5,57.1,71.0,64.9,41.0,56.0,64.0,54.4,81.2,commercial keyword; high buyer intent
19,best ai search software,best-ai-search-software,best list,43.5,57.1,71.0,64.9,41.0,56.0,64.0,54.4,81.2,commercial keyword; high buyer intent
20,best ai voice software,best-ai-voice-software,best list,43.5,57.1,71.0,64.9,41.0,56.0,64.0,54.4,81.2,commercial keyword; high buyer intent
21,best ai image tools,best-ai-image-tools,best list,39.4,57.1,71.0,64.9,41.0,56.0,64.0,52.6,80.0,commercial keyword; high buyer intent
22,best ai meeting tools,best-ai-meeting-tools,best list,39.4,57.1,71.0,64.9,41.0,56.0,64.0,52.6,80.0,commercial keyword; high buyer intent
23,Gradial Lands $65M Series C for Agentic Marketing Platform,gradial-lands-65m-series-c-for-agentic-marketing-platform,evergreen,49.6,53.9,78.0,66.5,53.0,46.0,68.0,54.1,79.7,high buyer intent; strong affiliate value
24,best productivity software,best-productivity-software,best list,44.2,58.5,72.0,66.1,41.0,56.0,64.0,54.6,78.4,commercial keyword; high buyer intent; strong affiliate value
25,"CMO Vision: AI Is Rewiring How Marketing Is Understood, Shaped And Scaled",cmo-vision-ai-is-rewiring-how-marketing-is-understood-shaped-and-scaled,evergreen,52.7,55.3,68.0,56.1,53.0,46.0,68.0,55.4,77.8,balanced opportunity
26,best productivity tools,best-productivity-tools,best list,40.1,58.5,72.0,66.1,41.0,56.0,64.0,52.8,77.2,commercial keyword; high buyer intent; strong affiliate value
