topic,slug,research,outline,writing,seo,images,video,thumbnail,social,publish,index,backlinks,refresh_schedule,status,completion_percent,owner
ai-berkshire Review 2026,ai-berkshire-review-2026,Pending,Pending,Pending,Pending,Pending,Optional,Optional,Optional,Pending,Pending,Pending,2026-09-28,Pending,40,User / Bot
"Tavant debuts agentic AI platform for software engineering, automation",tavant-debuts-agentic-ai-platform-for-software-engineering-automation,Pending,Pending,Pending,Pending,Pending,Pending,Optional,Pending,Pending,Pending,Pending,2026-09-28,Pending,40,User / Bot
free-for-dev Review 2026,free-for-dev-review-2026,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,2026-09-28,Pending,40,User / Bot
AI shakes SaaS as markets plunge and Korea races to reinvent software,ai-shakes-saas-as-markets-plunge-and-korea-races-to-reinvent-software,Pending,Pending,Pending,Pending,Pending,Pending,Optional,Pending,Pending,Pending,Pending,2026-09-28,Pending,40,User / Bot
agency-agents Review 2026,agency-agents-review-2026,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,2026-09-28,Pending,40,User / Bot
affordable ai design platform,affordable-ai-design-platform,Pending,Pending,Pending,Pending,Pending,Optional,Optional,Optional,Pending,Pending,Pending,2026-09-28,Pending,40,User / Bot
affordable ai image platform,affordable-ai-image-platform,Pending,Pending,Pending,Pending,Pending,Optional,Optional,Optional,Pending,Pending,Pending,2026-09-28,Pending,40,User / Bot
affordable ai meeting platform,affordable-ai-meeting-platform,Pending,Pending,Pending,Pending,Pending,Optional,Optional,Optional,Pending,Pending,Pending,2026-09-28,Pending,40,User / Bot
affordable ai search platform,affordable-ai-search-platform,Pending,Pending,Pending,Pending,Pending,Optional,Optional,Optional,Pending,Pending,Pending,2026-09-28,Pending,40,User / Bot
affordable ai voice platform,affordable-ai-voice-platform,Pending,Pending,Pending,Pending,Pending,Optional,Optional,Optional,Pending,Pending,Pending,2026-09-28,Pending,40,User / Bot
logto Review 2026,logto-review-2026,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,2026-09-28,Pending,40,User / Bot
VulnClaw Review 2026,vulnclaw-review-2026,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,2026-09-28,Pending,40,User / Bot
best ai productivity software,best-ai-productivity-software,Pending,Pending,Pending,Pending,Pending,Optional,Optional,Optional,Pending,Pending,Pending,2026-09-28,Pending,40,User / Bot
AI coding tokens could soon cost as much as salaries,ai-coding-tokens-could-soon-cost-as-much-as-salaries,Pending,Pending,Pending,Pending,Pending,Optional,Optional,Optional,Pending,Pending,Pending,2026-09-28,Pending,40,User / Bot
council-of-high-intelligence Review 2026,council-of-high-intelligence-review-2026,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,2026-09-28,Pending,40,User / Bot
cupy Review 2026,cupy-review-2026,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,2026-09-28,Pending,40,User / Bot
best ai image software,best-ai-image-software,Pending,Pending,Pending,Pending,Pending,Optional,Optional,Optional,Pending,Pending,Pending,2026-09-28,Pending,40,User / Bot
best ai meeting software,best-ai-meeting-software,Pending,Pending,Pending,Pending,Pending,Optional,Optional,Optional,Pending,Pending,Pending,2026-09-28,Pending,40,User / Bot
best ai search software,best-ai-search-software,Pending,Pending,Pending,Pending,Pending,Optional,Optional,Optional,Pending,Pending,Pending,2026-09-28,Pending,40,User / Bot
best ai voice software,best-ai-voice-software,Pending,Pending,Pending,Pending,Pending,Optional,Optional,Optional,Pending,Pending,Pending,2026-09-28,Pending,40,User / Bot
best ai image tools,best-ai-image-tools,Pending,Pending,Pending,Pending,Pending,Optional,Optional,Optional,Pending,Pending,Pending,2026-09-28,Pending,40,User / Bot
best ai meeting tools,best-ai-meeting-tools,Pending,Pending,Pending,Pending,Pending,Optional,Optional,Optional,Pending,Pending,Pending,2026-09-28,Pending,40,User / Bot
Gradial Lands $65M Series C for Agentic Marketing Platform,gradial-lands-65m-series-c-for-agentic-marketing-platform,Pending,Pending,Pending,Pending,Pending,Optional,Optional,Optional,Pending,Pending,Pending,2026-09-28,Pending,40,User / Bot
best productivity software,best-productivity-software,Pending,Pending,Pending,Pending,Pending,Optional,Optional,Optional,Pending,Pending,Pending,2026-09-28,Pending,40,User / Bot
