tool_name,category,official_site,affiliate_network,application_status,reapply_date,commission_type,cookie_window,notes,priority
Cursor,AI coding,https://cursor.com,to_research,to_research,2026-05-26,to_research,to_research,Do not claim official partner until approved.,high
Windsurf,AI coding,https://windsurf.com,to_research,to_research,2026-05-26,to_research,to_research,Track official program availability.,high
GitHub Copilot,AI coding,https://github.com/features/copilot,to_research,to_research,2026-05-26,to_research,to_research,Microsoft/GitHub affiliate availability must be verified.,high
Hostinger,hosting,https://www.hostinger.com,to_research,to_research,2026-05-26,to_research,to_research,Relevant for website deployment guides.,medium
Namecheap,domain,https://www.namecheap.com,to_research,to_research,2026-05-26,to_research,to_research,Relevant for domain setup content.,medium
Canva,design,https://www.canva.com,to_research,to_research,2026-05-26,to_research,to_research,Verify official creator/affiliate options.,medium
InVideo,video,https://invideo.io,to_research,to_research,2026-05-26,to_research,to_research,Potential video content fallback.,medium
Pictory,video,https://pictory.ai,to_research,to_research,2026-05-26,to_research,to_research,Potential video content fallback.,medium
MailerLite,email marketing,https://www.mailerlite.com,to_research,to_research,2026-05-26,to_research,to_research,Relevant for email capture growth.,medium
GetResponse,email marketing,https://www.getresponse.com,to_research,to_research,2026-05-26,to_research,to_research,Relevant for email capture growth.,medium
Notion,productivity,https://www.notion.so,to_research,to_research,2026-05-26,to_research,to_research,Verify current affiliate options.,low
Framer,website builder,https://www.framer.com,to_research,to_research,2026-05-26,to_research,to_research,Useful for website builder content.,medium
Webflow,website builder,https://webflow.com,to_research,to_research,2026-05-26,to_research,to_research,Useful for website builder content.,medium
