rank,topic,slug,final_score,priority,action,article_type,target_keyword,duplicate_risk,estimated_value,publish_status,published_url,video_package_path,next_action,note
1,free-for-dev Review 2026,free-for-dev-review-2026,59.1,P4,REFRESH_EXISTING,review,free-for-dev review 2026,REFRESH: Reviews; duplicate=REFRESH_EXISTING,,refreshed_source,https://smileaireviewhub.com/free-for-dev-review-2026/,,Review refreshed source and update existing page,REFRESH: Reviews; duplicate=REFRESH_EXISTING
2,ai-berkshire Review 2026,ai-berkshire-review-2026,58.8,P4,REFRESH_EXISTING,review,ai-berkshire review 2026,REFRESH: Reviews; duplicate=REFRESH_EXISTING,,refreshed_source,https://smileaireviewhub.com/ai-berkshire-review-2026/,,Review refreshed source and update existing page,REFRESH: Reviews; duplicate=REFRESH_EXISTING
3,agency-agents Review 2026,agency-agents-review-2026,58.6,P4,REFRESH_EXISTING,review,agency-agents review 2026,REFRESH: AI Automation; duplicate=REFRESH_EXISTING,,refreshed_source,https://smileaireviewhub.com/agency-agents-review-2026/,,Review refreshed source and update existing page,REFRESH: AI Automation; duplicate=REFRESH_EXISTING
4,logto Review 2026,logto-review-2026,57.1,P4,REFRESH_EXISTING,review,logto review 2026,REFRESH: Reviews; duplicate=REFRESH_EXISTING,,refreshed_source,https://smileaireviewhub.com/logto-review-2026/,,Review refreshed source and update existing page,REFRESH: Reviews; duplicate=REFRESH_EXISTING
5,VulnClaw Review 2026,vulnclaw-review-2026,57.1,P4,REFRESH_EXISTING,review,vulnclaw review 2026,REFRESH: Reviews; duplicate=REFRESH_EXISTING,,refreshed_source,https://smileaireviewhub.com/vulnclaw-review-2026/,,Review refreshed source and update existing page,REFRESH: Reviews; duplicate=REFRESH_EXISTING
6,council-of-high-intelligence Review 2026,council-of-high-intelligence-review-2026,56.3,P4,REFRESH_EXISTING,review,council-of-high-intelligence review 2026,REFRESH: Reviews; duplicate=REFRESH_EXISTING,,refreshed_source,https://smileaireviewhub.com/council-of-high-intelligence-review-2026/,,Review refreshed source and update existing page,REFRESH: Reviews; duplicate=REFRESH_EXISTING
7,cupy Review 2026,cupy-review-2026,56.0,P4,REFRESH_EXISTING,review,cupy review 2026,REFRESH: Reviews; duplicate=REFRESH_EXISTING,,refreshed_source,https://smileaireviewhub.com/cupy-review-2026/,,Review refreshed source and update existing page,REFRESH: Reviews; duplicate=REFRESH_EXISTING
8,best ai search software,best-ai-search-software,55.7,P4,REFRESH_EXISTING,best list,best ai search software,REFRESH: AI Search; duplicate=REFRESH_EXISTING,,refreshed_source,https://smileaireviewhub.com/best-ai-search-software/,,Review refreshed source and update existing page,REFRESH: AI Search; duplicate=REFRESH_EXISTING
9,"Tavant debuts agentic AI platform for software engineering, automation",tavant-debuts-agentic-ai-platform-for-software-engineering-automation,55.6,P4,REFRESH_EXISTING,evergreen,"tavant debuts agentic ai platform for software engineering, automation",REFRESH: AI Automation; duplicate=REFRESH_EXISTING,,refreshed_source,https://smileaireviewhub.com/tavant-debuts-agentic-ai-platform-for-software-engineering-automation/,,Review refreshed source and update existing page,REFRESH: AI Automation; duplicate=REFRESH_EXISTING
10,affordable ai search platform,affordable-ai-search-platform,55.0,P4,REFRESH_EXISTING,evergreen,affordable ai search platform,REFRESH: AI Search; duplicate=REFRESH_EXISTING,,refreshed_source,https://smileaireviewhub.com/affordable-ai-search-platform/,,Review refreshed source and update existing page,REFRESH: AI Search; duplicate=REFRESH_EXISTING
