keyword,slug,url,status_code,has_h1,has_meta_description,go_link_count,has_bad_placeholder,canonical_ok,passed,error,checked_at
email marketing alternatives,email-marketing-alternatives,https://smileaireviewhub.com/email-marketing-alternatives/,200,True,True,7,False,True,True,,2026-05-13T05:07:41.563577+00:00
ai seo alternatives,ai-seo-alternatives,https://smileaireviewhub.com/ai-seo-alternatives/,200,True,True,14,False,True,True,,2026-05-13T05:07:42.009684+00:00
ai coding alternatives,ai-coding-alternatives,https://smileaireviewhub.com/ai-coding-alternatives/,200,True,True,14,False,True,True,,2026-05-13T05:07:42.455404+00:00
ai voice alternatives,ai-voice-alternatives,https://smileaireviewhub.com/ai-voice-alternatives/,200,True,True,14,False,True,True,,2026-05-13T05:07:43.121691+00:00
website builder alternatives,website-builder-alternatives,https://smileaireviewhub.com/website-builder-alternatives/,200,True,True,12,False,True,True,,2026-05-13T05:07:43.538110+00:00
ai meeting alternatives,ai-meeting-alternatives,https://smileaireviewhub.com/ai-meeting-alternatives/,200,True,True,14,False,True,True,,2026-05-13T05:07:44.263112+00:00
ai productivity alternatives,ai-productivity-alternatives,https://smileaireviewhub.com/ai-productivity-alternatives/,200,True,True,14,False,True,True,,2026-05-13T05:07:45.067401+00:00
automation alternatives,automation-alternatives,https://smileaireviewhub.com/automation-alternatives/,200,True,True,7,False,True,True,,2026-05-13T05:07:45.563429+00:00
marketing alternatives,marketing-alternatives,https://smileaireviewhub.com/marketing-alternatives/,200,True,True,7,False,True,True,,2026-05-13T05:07:46.213006+00:00
ai writing alternatives,ai-writing-alternatives,https://smileaireviewhub.com/ai-writing-alternatives/,200,True,True,14,False,True,True,,2026-05-13T05:07:46.650240+00:00
