date,topic,slug,article_type,priority,estimated_value,estimated_revenue_score
2026-06-30,Comparisons Review 2026,comparisons-review-2026,review,P4,,
2026-06-30,Comparisons Pricing 2026,comparisons-pricing-2026,pricing,P4,,
2026-07-01,AI Coding Tutorial 2026,ai-coding-tutorial-2026,tutorial,P4,,
2026-07-01,AI Coding Alternatives 2026,ai-coding-alternatives-2026,alternatives,P4,,
2026-07-02,AI Coding Faq 2026,ai-coding-faq-2026,faq,P4,,
2026-07-02,SaaS Reviews Alternatives 2026,saas-reviews-alternatives-2026,alternatives,P4,,
2026-07-03,AI Coding Video Review 2026,ai-coding-video-2026,video,P4,,
2026-07-03,SaaS Reviews Comparison 2026,saas-reviews-comparison-2026,comparison,P4,,
2026-07-04,SaaS Reviews Review 2026,saas-reviews-review-2026,review,P4,,
2026-07-04,AI Image Alternatives 2026,ai-image-alternatives-2026,alternatives,P4,,
2026-07-05,SaaS Reviews Tutorial 2026,saas-reviews-tutorial-2026,tutorial,P4,,
2026-07-05,AI Productivity Pricing 2026,ai-productivity-pricing-2026,pricing,P4,,
2026-07-06,SaaS Reviews Faq 2026,saas-reviews-faq-2026,faq,P4,,
2026-07-06,AI Productivity Alternatives 2026,ai-productivity-alternatives-2026,alternatives,P4,,
2026-07-07,SaaS Reviews Video Review 2026,saas-reviews-video-2026,video,P4,,
2026-07-07,AI Search Pricing 2026,ai-search-pricing-2026,pricing,P4,,
2026-07-08,AI Image Tutorial 2026,ai-image-tutorial-2026,tutorial,P4,,
2026-07-08,AI Search Alternatives 2026,ai-search-alternatives-2026,alternatives,P4,,
2026-07-09,AI Image Faq 2026,ai-image-faq-2026,faq,P4,,
2026-07-09,AI Video Alternatives 2026,ai-video-alternatives-2026,alternatives,P4,,
2026-07-10,AI Image Video Review 2026,ai-image-video-2026,video,P4,,
2026-07-10,AI Writing Alternatives 2026,ai-writing-alternatives-2026,alternatives,P4,,
2026-07-11,AI Productivity Tutorial 2026,ai-productivity-tutorial-2026,tutorial,P4,,
2026-07-11,Reviews Pricing 2026,reviews-pricing-2026,pricing,P4,,
2026-07-12,AI Productivity Faq 2026,ai-productivity-faq-2026,faq,P4,,
2026-07-12,Reviews Alternatives 2026,reviews-alternatives-2026,alternatives,P4,,
2026-07-13,AI Productivity Video Review 2026,ai-productivity-video-2026,video,P4,,
2026-07-13,Reviews Comparison 2026,reviews-comparison-2026,comparison,P4,,
2026-07-14,AI Search Tutorial 2026,ai-search-tutorial-2026,tutorial,P4,,
2026-07-14,Comparisons Alternatives 2026,comparisons-alternatives-2026,alternatives,P4,,
2026-07-15,AI Search Faq 2026,ai-search-faq-2026,faq,P4,,
2026-07-16,AI Search Video Review 2026,ai-search-video-2026,video,P4,,
2026-07-17,AI Video Tutorial 2026,ai-video-tutorial-2026,tutorial,P4,,
2026-07-18,AI Video Faq 2026,ai-video-faq-2026,faq,P4,,
2026-07-19,AI Video Video Review 2026,ai-video-video-2026,video,P4,,
2026-07-20,AI Writing Tutorial 2026,ai-writing-tutorial-2026,tutorial,P4,,
2026-07-21,AI Writing Faq 2026,ai-writing-faq-2026,faq,P4,,
2026-07-22,AI Writing Video Review 2026,ai-writing-video-2026,video,P4,,
2026-07-23,AI Automation Tutorial 2026,ai-automation-tutorial-2026,tutorial,P4,,
2026-07-24,AI Automation Faq 2026,ai-automation-faq-2026,faq,P4,,
2026-07-25,AI Automation Video Review 2026,ai-automation-video-2026,video,P4,,
2026-07-26,AI SEO Tutorial 2026,ai-seo-tutorial-2026,tutorial,P4,,
2026-07-27,AI SEO Faq 2026,ai-seo-faq-2026,faq,P4,,
2026-07-28,AI SEO Video Review 2026,ai-seo-video-2026,video,P4,,
2026-07-29,Reviews Faq 2026,reviews-faq-2026,faq,P4,,
