id,day,scheduled_date,scheduled_time,language,platform,topic,post_type,content,status
day-01-0730-en-facebook,1,2026-05-21,07:30,en,facebook,Build in public,short practical tip,"Today's build note on Build in public:

The useful part of AI coding is not generating code fast. It is knowing which stage needs review before publishing.

- Fast scaffolding still needs cleanup.
- Build/deploy bugs need clearer prompts.
- SEO and language integrity should be checked before a page goes live.

Workflow checklist: https://review.mssmileenglish.com/free-ai-coding-workflow-checklist/
#AICoding #BuildInPublic",draft
day-01-0730-en-linkedin,1,2026-05-21,07:30,en,linkedin,Build in public,short practical tip,"Today's build note on Build in public:

The useful part of AI coding is not generating code fast. It is knowing which stage needs review before publishing.

- Fast scaffolding still needs cleanup.
- Build/deploy bugs need clearer prompts.
- SEO and language integrity should be checked before a page goes live.

Workflow checklist: https://review.mssmileenglish.com/free-ai-coding-workflow-checklist/
#AICoding #BuildInPublic",draft
day-01-0730-en-twitter,1,2026-05-21,07:30,en,twitter,Build in public,short practical tip,"Today's build note on Build in public:
The useful part of AI coding is not generating code fast. It is knowing which stage needs review before publishing.
- Fast scaffolding still needs cleanup.
- Build/deploy bugs need clearer prompts.
- SEO and language integrity should be checked before a page goes live.
Workflow checklist: https://review.mssmileenglish.com/free-ai-coding-workflow-checklist/
#AICoding #BuildInPublic",draft
day-01-0730-en-short_video,1,2026-05-21,07:30,en,short_video,Build in public,short practical tip,"Today's build note on Build in public:

The useful part of AI coding is not generating code fast. It is knowing which stage needs review before publishing.

- Fast scaffolding still needs cleanup.
- Build/deploy bugs need clearer prompts.
- SEO and language integrity should be checked before a page goes live.

Workflow checklist: https://review.mssmileenglish.com/free-ai-coding-workflow-checklist/
#AICoding #BuildInPublic

Video: hook, show the problem, show the checklist, close with the workflow link.",draft
day-01-0730-vi-facebook,1,2026-05-21,07:30,vi,facebook,Build in public,short practical tip,"Ghi chú hôm nay về Build in public:

Điều đáng giá nhất khi dùng AI coding tool không phải là tạo code thật nhanh, mà là biết bước nào cần kiểm tra lại.

- Dựng nhanh vẫn cần review.
- Lỗi build/deploy thường cần prompt rõ hơn.
- SEO và language integrity nên được kiểm tra trước khi publish.

Checklist workflow: https://review.mssmileenglish.com/vi/free-ai-coding-workflow-checklist/
#AICoding #BuildInPublic",draft
day-01-0730-vi-linkedin,1,2026-05-21,07:30,vi,linkedin,Build in public,short practical tip,"Ghi chú hôm nay về Build in public:

Điều đáng giá nhất khi dùng AI coding tool không phải là tạo code thật nhanh, mà là biết bước nào cần kiểm tra lại.

- Dựng nhanh vẫn cần review.
- Lỗi build/deploy thường cần prompt rõ hơn.
- SEO và language integrity nên được kiểm tra trước khi publish.

Checklist workflow: https://review.mssmileenglish.com/vi/free-ai-coding-workflow-checklist/
#AICoding #BuildInPublic",draft
day-01-0730-vi-twitter,1,2026-05-21,07:30,vi,twitter,Build in public,short practical tip,"Ghi chú hôm nay về Build in public:
Điều đáng giá nhất khi dùng AI coding tool không phải là tạo code thật nhanh, mà là biết bước nào cần kiểm tra lại.
- Dựng nhanh vẫn cần review.
- Lỗi build/deploy thường cần prompt rõ hơn.
- SEO và language integrity nên được kiểm tra trước khi publish.
Checklist workflow: https://review.mssmileenglish.com/vi/free-ai-coding-workflow-checklist/
#AICoding #BuildInPublic",draft
day-01-0730-vi-short_video,1,2026-05-21,07:30,vi,short_video,Build in public,short practical tip,"Ghi chú hôm nay về Build in public:

Điều đáng giá nhất khi dùng AI coding tool không phải là tạo code thật nhanh, mà là biết bước nào cần kiểm tra lại.

- Dựng nhanh vẫn cần review.
- Lỗi build/deploy thường cần prompt rõ hơn.
- SEO và language integrity nên được kiểm tra trước khi publish.

Checklist workflow: https://review.mssmileenglish.com/vi/free-ai-coding-workflow-checklist/
#AICoding #BuildInPublic

Video: mở bằng hook, nêu vấn đề, đưa checklist, kết thúc bằng link workflow.",draft
day-01-2030-en-facebook,1,2026-05-21,20:30,en,facebook,Build in public,story/comparison/case study,"Today's build note on Build in public:

The useful part of AI coding is not generating code fast. It is knowing which stage needs review before publishing.

- Fast scaffolding still needs cleanup.
- Build/deploy bugs need clearer prompts.
- SEO and language integrity should be checked before a page goes live.

Workflow checklist: https://review.mssmileenglish.com/free-ai-coding-workflow-checklist/
#AICoding #BuildInPublic

The mistake I keep seeing: people publish the AI output before checking the boring parts.",draft
day-01-2030-en-linkedin,1,2026-05-21,20:30,en,linkedin,Build in public,story/comparison/case study,"Today's build note on Build in public:

The useful part of AI coding is not generating code fast. It is knowing which stage needs review before publishing.

- Fast scaffolding still needs cleanup.
- Build/deploy bugs need clearer prompts.
- SEO and language integrity should be checked before a page goes live.

Workflow checklist: https://review.mssmileenglish.com/free-ai-coding-workflow-checklist/
#AICoding #BuildInPublic

The mistake I keep seeing: people publish the AI output before checking the boring parts.",draft
day-01-2030-en-twitter,1,2026-05-21,20:30,en,twitter,Build in public,story/comparison/case study,"Today's build note on Build in public:
The useful part of AI coding is not generating code fast. It is knowing which stage needs review before publishing.
- Fast scaffolding still needs cleanup.
- Build/deploy bugs need clearer prompts.
- SEO and language integrity should be checked before a page goes live.
Workflow checklist: https://review.mssmileenglish.com/free-ai-coding-workflow-checklist/
#AICoding #BuildInPublic
The mistake I keep seeing: people publish the AI output before checking the boring parts.",draft
day-01-2030-en-short_video,1,2026-05-21,20:30,en,short_video,Build in public,story/comparison/case study,"Today's build note on Build in public:

The useful part of AI coding is not generating code fast. It is knowing which stage needs review before publishing.

- Fast scaffolding still needs cleanup.
- Build/deploy bugs need clearer prompts.
- SEO and language integrity should be checked before a page goes live.

Workflow checklist: https://review.mssmileenglish.com/free-ai-coding-workflow-checklist/
#AICoding #BuildInPublic

The mistake I keep seeing: people publish the AI output before checking the boring parts.

Video: hook, show the problem, show the checklist, close with the workflow link.",draft
day-01-2030-vi-facebook,1,2026-05-21,20:30,vi,facebook,Build in public,story/comparison/case study,"Ghi chú hôm nay về Build in public:

Điều đáng giá nhất khi dùng AI coding tool không phải là tạo code thật nhanh, mà là biết bước nào cần kiểm tra lại.

- Dựng nhanh vẫn cần review.
- Lỗi build/deploy thường cần prompt rõ hơn.
- SEO và language integrity nên được kiểm tra trước khi publish.

Checklist workflow: https://review.mssmileenglish.com/vi/free-ai-coding-workflow-checklist/
#AICoding #BuildInPublic

Lỗi mình hay thấy: publish output của AI trước khi kiểm tra các phần nhàm chán nhưng quan trọng.",draft
day-01-2030-vi-linkedin,1,2026-05-21,20:30,vi,linkedin,Build in public,story/comparison/case study,"Ghi chú hôm nay về Build in public:

Điều đáng giá nhất khi dùng AI coding tool không phải là tạo code thật nhanh, mà là biết bước nào cần kiểm tra lại.

- Dựng nhanh vẫn cần review.
- Lỗi build/deploy thường cần prompt rõ hơn.
- SEO và language integrity nên được kiểm tra trước khi publish.

Checklist workflow: https://review.mssmileenglish.com/vi/free-ai-coding-workflow-checklist/
#AICoding #BuildInPublic

Lỗi mình hay thấy: publish output của AI trước khi kiểm tra các phần nhàm chán nhưng quan trọng.",draft
day-01-2030-vi-twitter,1,2026-05-21,20:30,vi,twitter,Build in public,story/comparison/case study,"Ghi chú hôm nay về Build in public:
Điều đáng giá nhất khi dùng AI coding tool không phải là tạo code thật nhanh, mà là biết bước nào cần kiểm tra lại.
- Dựng nhanh vẫn cần review.
- Lỗi build/deploy thường cần prompt rõ hơn.
- SEO và language integrity nên được kiểm tra trước khi publish.
Checklist workflow: https://review.mssmileenglish.com/vi/free-ai-coding-workflow-checklist/
#AICoding #BuildInPublic
Lỗi mình hay thấy: publish output của AI trước khi kiểm tra các phần nhàm chán nhưng quan trọng.",draft
day-01-2030-vi-short_video,1,2026-05-21,20:30,vi,short_video,Build in public,story/comparison/case study,"Ghi chú hôm nay về Build in public:

Điều đáng giá nhất khi dùng AI coding tool không phải là tạo code thật nhanh, mà là biết bước nào cần kiểm tra lại.

- Dựng nhanh vẫn cần review.
- Lỗi build/deploy thường cần prompt rõ hơn.
- SEO và language integrity nên được kiểm tra trước khi publish.

Checklist workflow: https://review.mssmileenglish.com/vi/free-ai-coding-workflow-checklist/
#AICoding #BuildInPublic

Lỗi mình hay thấy: publish output của AI trước khi kiểm tra các phần nhàm chán nhưng quan trọng.

Video: mở bằng hook, nêu vấn đề, đưa checklist, kết thúc bằng link workflow.",draft
day-02-0730-en-facebook,2,2026-05-22,07:30,en,facebook,Windsurf vs Cursor,short practical tip,"Today's build note on Windsurf vs Cursor:

The useful part of AI coding is not generating code fast. It is knowing which stage needs review before publishing.

- Fast scaffolding still needs cleanup.
- Build/deploy bugs need clearer prompts.
- SEO and language integrity should be checked before a page goes live.

Workflow checklist: https://review.mssmileenglish.com/free-ai-coding-workflow-checklist/
#AICoding #BuildInPublic",draft
day-02-0730-en-linkedin,2,2026-05-22,07:30,en,linkedin,Windsurf vs Cursor,short practical tip,"Today's build note on Windsurf vs Cursor:

The useful part of AI coding is not generating code fast. It is knowing which stage needs review before publishing.

- Fast scaffolding still needs cleanup.
- Build/deploy bugs need clearer prompts.
- SEO and language integrity should be checked before a page goes live.

Workflow checklist: https://review.mssmileenglish.com/free-ai-coding-workflow-checklist/
#AICoding #BuildInPublic",draft
day-02-0730-en-twitter,2,2026-05-22,07:30,en,twitter,Windsurf vs Cursor,short practical tip,"Today's build note on Windsurf vs Cursor:
The useful part of AI coding is not generating code fast. It is knowing which stage needs review before publishing.
- Fast scaffolding still needs cleanup.
- Build/deploy bugs need clearer prompts.
- SEO and language integrity should be checked before a page goes live.
Workflow checklist: https://review.mssmileenglish.com/free-ai-coding-workflow-checklist/
#AICoding #BuildInPublic",draft
day-02-0730-en-short_video,2,2026-05-22,07:30,en,short_video,Windsurf vs Cursor,short practical tip,"Today's build note on Windsurf vs Cursor:

The useful part of AI coding is not generating code fast. It is knowing which stage needs review before publishing.

- Fast scaffolding still needs cleanup.
- Build/deploy bugs need clearer prompts.
- SEO and language integrity should be checked before a page goes live.

Workflow checklist: https://review.mssmileenglish.com/free-ai-coding-workflow-checklist/
#AICoding #BuildInPublic

Video: hook, show the problem, show the checklist, close with the workflow link.",draft
day-02-0730-vi-facebook,2,2026-05-22,07:30,vi,facebook,Windsurf vs Cursor,short practical tip,"Ghi chú hôm nay về Windsurf vs Cursor:

Điều đáng giá nhất khi dùng AI coding tool không phải là tạo code thật nhanh, mà là biết bước nào cần kiểm tra lại.

- Dựng nhanh vẫn cần review.
- Lỗi build/deploy thường cần prompt rõ hơn.
- SEO và language integrity nên được kiểm tra trước khi publish.

Checklist workflow: https://review.mssmileenglish.com/vi/free-ai-coding-workflow-checklist/
#AICoding #BuildInPublic",draft
day-02-0730-vi-linkedin,2,2026-05-22,07:30,vi,linkedin,Windsurf vs Cursor,short practical tip,"Ghi chú hôm nay về Windsurf vs Cursor:

Điều đáng giá nhất khi dùng AI coding tool không phải là tạo code thật nhanh, mà là biết bước nào cần kiểm tra lại.

- Dựng nhanh vẫn cần review.
- Lỗi build/deploy thường cần prompt rõ hơn.
- SEO và language integrity nên được kiểm tra trước khi publish.

Checklist workflow: https://review.mssmileenglish.com/vi/free-ai-coding-workflow-checklist/
#AICoding #BuildInPublic",draft
day-02-0730-vi-twitter,2,2026-05-22,07:30,vi,twitter,Windsurf vs Cursor,short practical tip,"Ghi chú hôm nay về Windsurf vs Cursor:
Điều đáng giá nhất khi dùng AI coding tool không phải là tạo code thật nhanh, mà là biết bước nào cần kiểm tra lại.
- Dựng nhanh vẫn cần review.
- Lỗi build/deploy thường cần prompt rõ hơn.
- SEO và language integrity nên được kiểm tra trước khi publish.
Checklist workflow: https://review.mssmileenglish.com/vi/free-ai-coding-workflow-checklist/
#AICoding #BuildInPublic",draft
day-02-0730-vi-short_video,2,2026-05-22,07:30,vi,short_video,Windsurf vs Cursor,short practical tip,"Ghi chú hôm nay về Windsurf vs Cursor:

Điều đáng giá nhất khi dùng AI coding tool không phải là tạo code thật nhanh, mà là biết bước nào cần kiểm tra lại.

- Dựng nhanh vẫn cần review.
- Lỗi build/deploy thường cần prompt rõ hơn.
- SEO và language integrity nên được kiểm tra trước khi publish.

Checklist workflow: https://review.mssmileenglish.com/vi/free-ai-coding-workflow-checklist/
#AICoding #BuildInPublic

Video: mở bằng hook, nêu vấn đề, đưa checklist, kết thúc bằng link workflow.",draft
day-02-2030-en-facebook,2,2026-05-22,20:30,en,facebook,Windsurf vs Cursor,story/comparison/case study,"Today's build note on Windsurf vs Cursor:

The useful part of AI coding is not generating code fast. It is knowing which stage needs review before publishing.

- Fast scaffolding still needs cleanup.
- Build/deploy bugs need clearer prompts.
- SEO and language integrity should be checked before a page goes live.

Workflow checklist: https://review.mssmileenglish.com/free-ai-coding-workflow-checklist/
#AICoding #BuildInPublic

The mistake I keep seeing: people publish the AI output before checking the boring parts.",draft
day-02-2030-en-linkedin,2,2026-05-22,20:30,en,linkedin,Windsurf vs Cursor,story/comparison/case study,"Today's build note on Windsurf vs Cursor:

The useful part of AI coding is not generating code fast. It is knowing which stage needs review before publishing.

- Fast scaffolding still needs cleanup.
- Build/deploy bugs need clearer prompts.
- SEO and language integrity should be checked before a page goes live.

Workflow checklist: https://review.mssmileenglish.com/free-ai-coding-workflow-checklist/
#AICoding #BuildInPublic

The mistake I keep seeing: people publish the AI output before checking the boring parts.",draft
day-02-2030-en-twitter,2,2026-05-22,20:30,en,twitter,Windsurf vs Cursor,story/comparison/case study,"Today's build note on Windsurf vs Cursor:
The useful part of AI coding is not generating code fast. It is knowing which stage needs review before publishing.
- Fast scaffolding still needs cleanup.
- Build/deploy bugs need clearer prompts.
- SEO and language integrity should be checked before a page goes live.
Workflow checklist: https://review.mssmileenglish.com/free-ai-coding-workflow-checklist/
#AICoding #BuildInPublic
The mistake I keep seeing: people publish the AI output before checking the boring parts.",draft
day-02-2030-en-short_video,2,2026-05-22,20:30,en,short_video,Windsurf vs Cursor,story/comparison/case study,"Today's build note on Windsurf vs Cursor:

The useful part of AI coding is not generating code fast. It is knowing which stage needs review before publishing.

- Fast scaffolding still needs cleanup.
- Build/deploy bugs need clearer prompts.
- SEO and language integrity should be checked before a page goes live.

Workflow checklist: https://review.mssmileenglish.com/free-ai-coding-workflow-checklist/
#AICoding #BuildInPublic

The mistake I keep seeing: people publish the AI output before checking the boring parts.

Video: hook, show the problem, show the checklist, close with the workflow link.",draft
day-02-2030-vi-facebook,2,2026-05-22,20:30,vi,facebook,Windsurf vs Cursor,story/comparison/case study,"Ghi chú hôm nay về Windsurf vs Cursor:

Điều đáng giá nhất khi dùng AI coding tool không phải là tạo code thật nhanh, mà là biết bước nào cần kiểm tra lại.

- Dựng nhanh vẫn cần review.
- Lỗi build/deploy thường cần prompt rõ hơn.
- SEO và language integrity nên được kiểm tra trước khi publish.

Checklist workflow: https://review.mssmileenglish.com/vi/free-ai-coding-workflow-checklist/
#AICoding #BuildInPublic

Lỗi mình hay thấy: publish output của AI trước khi kiểm tra các phần nhàm chán nhưng quan trọng.",draft
day-02-2030-vi-linkedin,2,2026-05-22,20:30,vi,linkedin,Windsurf vs Cursor,story/comparison/case study,"Ghi chú hôm nay về Windsurf vs Cursor:

Điều đáng giá nhất khi dùng AI coding tool không phải là tạo code thật nhanh, mà là biết bước nào cần kiểm tra lại.

- Dựng nhanh vẫn cần review.
- Lỗi build/deploy thường cần prompt rõ hơn.
- SEO và language integrity nên được kiểm tra trước khi publish.

Checklist workflow: https://review.mssmileenglish.com/vi/free-ai-coding-workflow-checklist/
#AICoding #BuildInPublic

Lỗi mình hay thấy: publish output của AI trước khi kiểm tra các phần nhàm chán nhưng quan trọng.",draft
