url,in_sitemap,page_type,priority,reason,suggested_action
https://smileaireviewhub.com/,yes,homepage,high,Core site page,Submit in Google Search Console URL Inspection
https://smileaireviewhub.com/best-ai-coding-tools-2026/,yes,best_tools,high,AI coding tool money page or comparison requested for priority indexing,Submit in Google Search Console URL Inspection
https://smileaireviewhub.com/windsurf-review/,yes,article_or_review,high,AI coding tool money page or comparison requested for priority indexing,Submit in Google Search Console URL Inspection
https://smileaireviewhub.com/comparisons/cursor-vs-windsurf/,yes,comparison,high,AI coding tool money page or comparison requested for priority indexing,Submit in Google Search Console URL Inspection
https://smileaireviewhub.com/comparisons/copilot-vs-cursor/,yes,comparison,high,AI coding tool money page or comparison requested for priority indexing,Submit in Google Search Console URL Inspection
https://smileaireviewhub.com/cursor/,yes,article_or_review,high,AI coding tool money page or comparison requested for priority indexing,Submit in Google Search Console URL Inspection
https://smileaireviewhub.com/github-copilot/,yes,article_or_review,high,AI coding tool money page or comparison requested for priority indexing,Submit in Google Search Console URL Inspection
https://smileaireviewhub.com/semrush/,yes,article_or_review,high,High-intent affiliate review page,Submit in Google Search Console URL Inspection
https://smileaireviewhub.com/canva/,yes,article_or_review,high,High-intent affiliate review page,Submit in Google Search Console URL Inspection
https://smileaireviewhub.com/zapier/,yes,article_or_review,high,High-intent affiliate review page,Submit in Google Search Console URL Inspection
https://smileaireviewhub.com/make/,yes,article_or_review,high,High-intent affiliate review page,Submit in Google Search Console URL Inspection
https://smileaireviewhub.com/elevenlabs/,yes,article_or_review,high,High-intent affiliate review page,Submit in Google Search Console URL Inspection
https://smileaireviewhub.com/about/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/activecampaign/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/adcreative-ai/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/aeo-action-plan/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/ai-coding-alternatives/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/ai-coding-software-review/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/ai-design-alternatives/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/ai-meeting-alternatives/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/ai-meeting-software-review/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/ai-productivity-alternatives/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/ai-productivity-software-review/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/ai-seo-alternatives/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/ai-seo-software-review/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/ai-video-alternatives/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/ai-voice-alternatives/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/ai-voice-software-review/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/ai-writing-alternatives/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/automation-alternatives/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/automation-software-review/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/best-ai-automation-tools-2026/,yes,best_tools,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/best-ai-automation-tools/,yes,best_tools,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/best-ai-coding-tools/,yes,best_tools,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/best-ai-presentation-tools/,yes,best_tools,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/best-ai-seo-tools-2026/,yes,best_tools,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/best-ai-seo-tools/,yes,best_tools,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/best-ai-video-tools-2026/,yes,best_tools,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/best-ai-video-tools/,yes,best_tools,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/best-ai-writing-tools-2026/,yes,best_tools,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/best-ai-writing-tools/,yes,best_tools,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/best-crm-tools/,yes,best_tools,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/best-website-builders/,yes,best_tools,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/blog/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/blog/ai-productivity-tools/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/blog/ai-tools-for-content-creators/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/blog/ai-tools-for-marketers/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/blog/ai-tools-under-20-month/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/blog/ai-website-builders-comparison/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/blog/automation-tools-for-beginners/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/blog/best-ai-presentation-tools/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/blog/best-ai-tools-for-small-business/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/blog/best-ai-voice-generators/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/blog/best-alternatives-to-canva-ai/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/blog/best-crm-for-startups/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/blog/how-to-choose-saas-tools-safely/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/categories/,yes,article_or_review,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/category/ai-automation-tools/,yes,category,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/category/ai-coding-tools/,yes,category,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/category/ai-customer-support-tools/,yes,category,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/category/ai-presentation-tools/,yes,category,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/category/ai-seo-tools/,yes,category,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/category/ai-video-tools/,yes,category,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/category/ai-voice-tools/,yes,category,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/category/ai-writing-tools/,yes,category,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/category/ai-writing/,yes,category,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/category/automation-tools/,yes,category,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/category/automation/,yes,category,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/category/crm-tools/,yes,category,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/category/crm/,yes,category,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/category/design-tools/,yes,category,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/category/email-marketing-tools/,yes,category,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/category/seo-tools/,yes,category,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/category/video-tools/,yes,category,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/category/website-builder-tools/,yes,category,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/category/website-builders/,yes,category,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/category/writing-tools/,yes,category,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/compare/activecampaign-vs-mailchimp/,yes,comparison,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/compare/canva-vs-adcreative-ai/,yes,comparison,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/compare/cursor-vs-github-copilot/,yes,comparison,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/compare/cursor-vs-windsurf/,yes,comparison,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/compare/github-copilot-vs-codeium/,yes,comparison,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/compare/grammarly-vs-quillbot/,yes,comparison,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/compare/jasper-vs-copy-ai/,yes,comparison,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/compare/make-vs-zapier/,yes,comparison,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/compare/semrush-vs-ahrefs/,yes,comparison,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/compare/synthesia-vs-pictory/,yes,comparison,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/comparisons/,yes,comparison,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/comparisons/canva-vs-adobe-express/,yes,comparison,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/comparisons/canva-vs-gamma/,yes,comparison,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/comparisons/chatgpt-vs-claude/,yes,comparison,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/comparisons/chatgpt-vs-gemini/,yes,comparison,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/comparisons/copilot-vs-codex/,yes,comparison,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/comparisons/copilot-vs-tabnine/,yes,comparison,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/comparisons/cursor-vs-copilot/,yes,comparison,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/comparisons/cursor-vs-github-copilot/,yes,comparison,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/comparisons/cursor-vs-vscode/,yes,comparison,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/comparisons/elevenlabs-vs-murf/,yes,comparison,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/comparisons/elevenlabs-vs-playht/,yes,comparison,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/comparisons/framer-vs-webflow/,yes,comparison,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/comparisons/gemini-vs-claude/,yes,comparison,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/comparisons/hubspot-vs-salesforce/,yes,comparison,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/comparisons/jasper-vs-copyai/,yes,comparison,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/comparisons/make-vs-zapier/,yes,comparison,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/comparisons/midjourney-vs-dalle/,yes,comparison,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/comparisons/notion-ai-vs-chatgpt/,yes,comparison,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
https://smileaireviewhub.com/comparisons/notion-ai-vs-clickup-ai/,yes,comparison,normal,Included in final SEO sitemap,Let Google crawl through sitemap and internal links
