slug,topic,affiliate_disclosure,affiliate_links,missing_products,expired_products,broken_links,missing_cta,issues
about,About MS Smile AI Review Hub,True,0,,,1,True,missing affiliate links; broken links; missing CTA
about-author,About the Author,True,0,,,1,True,missing affiliate links; broken links; missing CTA
activecampaign,ActiveCampaign Review,True,1,,,1,False,broken links
adcreative-ai,AdCreative AI Review,True,2,,,1,False,broken links
aeo-action-plan,AEO Action Plan,True,0,,,1,True,missing affiliate links; broken links; missing CTA
ahrefs-ai,Ahrefs AI Review,True,2,,,2,False,broken links
ai-app-builder-alternatives,Best AI App Builder Alternatives for 2026,True,5,,,1,False,broken links
ai-app-builder-software-review,AI App Builder Software Review: Research-Style Review for 2026,True,5,,,1,False,broken links
ai-assistant-alternatives,Best AI Assistant Alternatives for 2026,True,5,,,1,False,broken links
ai-assistant-software-comparison,"AI Assistant Software Review 2026: Features, Pricing, Pros, Cons & Alternatives",True,0,,,5,True,missing affiliate links; broken links; missing CTA
ai-assistant-software-review,AI Assistant Software Review: Research-Style Review for 2026,True,5,,,1,False,broken links
ai-coding-alternatives,Best AI Coding Alternatives for 2026,True,5,,,1,False,broken links
ai-coding-software-comparison,"AI Coding Software Review 2026: Features, Pricing, Pros, Cons & Alternatives",True,0,,,5,True,missing affiliate links; broken links; missing CTA
ai-coding-software-review,AI Coding Software Review: Research-Style Review for 2026,True,5,,,1,False,broken links
ai-design-alternatives,Best AI Design Alternatives for 2026,True,5,,,2,False,broken links
ai-design-software-review,"AI Design Software Review 2026: Features, Pricing, Pros, Cons & Alternatives",True,0,,,4,True,missing affiliate links; broken links; missing CTA
ai-image-alternatives,Best AI Image Alternatives for 2026,True,5,,,2,False,broken links
ai-image-software-review,AI Image Software Review: Research-Style Review for 2026,True,5,,,2,False,broken links
ai-meeting-alternatives,Best AI Meeting Alternatives for 2026,True,5,,,2,False,broken links
ai-meeting-software-review,AI Meeting Software Review: Research-Style Review for 2026,True,5,,,2,False,broken links
ai-productivity-alternatives,Best AI Productivity Alternatives for 2026,True,5,,,2,False,broken links
ai-productivity-software-review,AI Productivity Software Review: Research-Style Review for 2026,True,5,,,1,False,broken links
ai-search-alternatives,Best AI Search Alternatives for 2026,True,5,,,1,False,broken links
ai-search-software-review,AI Search Software Review: Research-Style Review for 2026,True,5,,,1,False,broken links
ai-seo-alternatives,Best AI SEO Alternatives for 2026,True,5,,,2,False,broken links
ai-seo-software-review,AI SEO Software Review: Research-Style Review for 2026,True,5,,,2,False,broken links
ai-tools-in-2026-what-each-platform-does-best-in-real-world-workflows,"AI Tools in Real-World Workflows Review 2026: Features, Pricing, Pros, Cons & Alternatives",True,0,,,2,True,missing affiliate links; broken links; missing CTA
ai-video-alternatives,Best AI Video Alternatives for 2026,True,5,,,1,False,broken links
ai-video-software-review,"AI Video Software Review 2026: Features, Pricing, Pros, Cons & Alternatives",True,0,,,2,True,missing affiliate links; broken links; missing CTA
ai-voice-alternatives,Best AI Voice Alternatives for 2026,True,5,,,1,False,broken links
ai-voice-software-review,AI Voice Software Review: Research-Style Review for 2026,True,5,,,1,False,broken links
ai-writing-alternatives,Best AI Writing Alternatives for 2026,True,5,,,1,False,broken links
ai-writing-software-review,"AI Writing Software Review 2026: Features, Pricing, Pros, Cons & Alternatives",True,0,,,1,True,missing affiliate links; broken links; missing CTA
aisuite-review-2026,"aisuite Review 2026: Features, Pricing, Pros, Cons & Alternatives",True,0,,,3,True,missing affiliate links; broken links; missing CTA
author-profile,Author Profile,True,0,,,1,True,missing affiliate links; broken links; missing CTA
automation-alternatives,Best Automation Alternatives for 2026,True,2,,,1,False,broken links
automation-software-comparison,"Automation Software Review 2026: Features, Pricing, Pros, Cons & Alternatives",True,0,,,4,True,missing affiliate links; broken links; missing CTA
automation-software-review,Automation Software Review: Research-Style Review for 2026,True,2,,,1,False,broken links
aweber-review-2026,"AWeber Review 2026: Email Marketing Features, Pricing, Pros and Cons",True,0,,,1,True,missing affiliate links; broken links; missing CTA
beehiiv-review-2026,"beehiiv Review 2026: Features, Pricing, Pros, Cons & Alternatives",True,0,,,3,True,missing affiliate links; broken links; missing CTA
best-affiliate-marketing-software-saas,Best Affiliate Marketing Software for SaaS Companies,True,0,,,1,True,missing affiliate links; broken links; missing CTA
best-ai-assistant-software,"Best AI Assistant Software Review 2026: Features, Pricing, Pros, Cons & Alternatives",True,0,,,5,True,missing affiliate links; broken links; missing CTA
best-ai-automation-tools,Best AI Automation Tools,True,0,,,1,True,missing affiliate links; broken links; missing CTA
best-ai-automation-tools-2026,Best AI Automation Tools 2026,True,5,,,1,False,broken links
best-ai-coding-tools,Best AI Coding Tools,True,0,,,1,True,missing affiliate links; broken links; missing CTA
best-ai-coding-tools-2026,Best AI Coding Tools 2026: Practical Picks for Real Coding Workflows,True,3,,,1,True,broken links; missing CTA
best-ai-coding-tools-solo-developers,Best AI Coding Tools for Solo Developers in 2026,True,0,,,5,True,missing affiliate links; broken links; missing CTA
best-ai-presentation-tools,Best AI Presentation Tools,True,0,,,1,True,missing affiliate links; broken links; missing CTA
best-ai-seo-tools,Best AI SEO Tools,True,0,,,2,True,missing affiliate links; broken links; missing CTA
best-ai-seo-tools-2026,Best AI SEO Tools for Content Creators in 2026,True,0,,,2,True,missing affiliate links; broken links; missing CTA
best-ai-tools,Best AI Tools,True,0,,,2,True,missing affiliate links; broken links; missing CTA
best-ai-video-tools,Best AI Video Tools,True,0,,,1,True,missing affiliate links; broken links; missing CTA
best-ai-video-tools-2026,Best AI Video Tools 2026,True,4,,,1,False,broken links
best-ai-website-builders-compared,"Best AI Website Builders Compared: Wix, Webflow, Durable, Framer",True,3,,,1,True,broken links; missing CTA
best-ai-writing-tools,Best AI Writing Tools,True,0,,,1,True,missing affiliate links; broken links; missing CTA
best-ai-writing-tools-2026,Best AI Writing Tools 2026,True,5,,,1,False,broken links
best-crm-tools,Best CRM Tools,True,0,,,1,True,missing affiliate links; broken links; missing CTA
best-website-builder-2026,Best Website Builder for Small Businesses in 2026,True,0,,,1,True,missing affiliate links; broken links; missing CTA
best-website-builders,Best Website Builders,True,0,,,1,True,missing affiliate links; broken links; missing CTA
blog,Blog,True,0,,,1,True,missing affiliate links; broken links; missing CTA
blog/ai-productivity-tools,AI Productivity Tools,True,0,,,2,True,missing affiliate links; broken links; missing CTA
blog/ai-tools-for-content-creators,AI Tools for Content Creators,True,0,,,1,True,missing affiliate links; broken links; missing CTA
blog/ai-tools-for-marketers,AI Tools for Marketers,True,0,,,1,True,missing affiliate links; broken links; missing CTA
blog/ai-tools-under-20-month,AI Tools Under $20/month,True,0,,,1,True,missing affiliate links; broken links; missing CTA
blog/ai-website-builders-comparison,AI Website Builders Comparison,True,0,,,1,True,missing affiliate links; broken links; missing CTA
blog/automation-tools-for-beginners,Automation Tools for Beginners,True,0,,,1,True,missing affiliate links; broken links; missing CTA
blog/best-ai-presentation-tools,Best AI Presentation Tools,True,0,,,1,True,missing affiliate links; broken links; missing CTA
blog/best-ai-tools-for-small-business,Best AI Tools for Small Business,True,0,,,1,True,missing affiliate links; broken links; missing CTA
blog/best-ai-voice-generators,Best AI Voice Generators,True,0,,,1,True,missing affiliate links; broken links; missing CTA
blog/best-alternatives-to-canva-ai,Best Alternatives to Canva AI,True,1,,,1,True,broken links; missing CTA
blog/best-crm-for-startups,Best CRM for Startups,True,0,,,1,True,missing affiliate links; broken links; missing CTA
blog/chatgpt-prompts-for-windsurf,How to Use ChatGPT to Write Better Prompts for Windsurf,True,2,,,1,True,broken links; missing CTA
blog/chatgpt-windsurf-codex-workflow,"How I Use ChatGPT, Windsurf and Codex to Build Real AI Projects",True,3,,,1,True,broken links; missing CTA
blog/fix-windsurf-mixed-language,How to Fix Mixed English/Vietnamese Output from Windsurf,True,1,,,1,True,broken links; missing CTA
blog/how-to-choose-saas-tools-safely,How to Choose SaaS Tools Safely,True,0,,,1,True,missing affiliate links; broken links; missing CTA
blog/windsurf-prompt-checklist,Windsurf Prompt Checklist: What I Check Before Sending a Task,True,1,,,1,True,broken links; missing CTA
blog/windsurf-to-codex-workflow,My Windsurf to Codex Workflow for Real Project Cleanup,True,2,,,1,True,broken links; missing CTA
bolt,Bolt Review,True,1,,,1,False,broken links
bolt-ai-review-2026,Bolt AI Review 2026,True,1,,,1,True,broken links; missing CTA
brevo-review-2026,Brevo Review 2026,True,0,,,3,True,missing affiliate links; broken links; missing CTA
bunny-net-review-2026,"Bunny.net Review 2026: Features, Pricing, Pros, Cons & Alternatives",True,0,,,3,True,missing affiliate links; broken links; missing CTA
canva,Canva Review,True,1,,,1,False,broken links
categories,Categories,True,0,,,1,True,missing affiliate links; broken links; missing CTA
category/ai-automation-tools,AI Automation Tools,True,0,,,1,False,missing affiliate links; broken links
category/ai-coding-tools,AI Coding Tools: Research Guide and Shortlist,True,4,,,1,False,broken links
category/ai-customer-support-tools,AI Customer Support Tools,True,0,,,2,False,missing affiliate links; broken links
category/ai-presentation-tools,AI Presentation Tools,True,0,,,1,False,missing affiliate links; broken links
category/ai-seo-tools,AI SEO Tools,True,0,,,2,False,missing affiliate links; broken links
category/ai-video-tools,AI Video Tools,True,0,,,1,False,missing affiliate links; broken links
category/ai-voice-tools,AI Voice Tools,True,0,,,1,False,missing affiliate links; broken links
category/ai-writing,AI Writing,True,0,,,1,False,missing affiliate links; broken links
category/ai-writing-tools,AI Writing Tools,True,0,,,1,False,missing affiliate links; broken links
category/automation,Automation,True,0,,,1,False,missing affiliate links; broken links
category/automation-tools,Automation Tools: Research Guide and Shortlist,True,3,,,1,False,broken links
category/crm,CRM,True,0,,,1,False,missing affiliate links; broken links
category/crm-tools,CRM Tools,True,0,,,1,False,missing affiliate links; broken links
category/design-tools,Design Tools: Research Guide and Shortlist,True,3,,,2,False,broken links
category/email-marketing-tools,Email Marketing Tools: Research Guide and Shortlist,True,3,,,1,False,broken links
category/seo-tools,SEO Tools: Research Guide and Shortlist,True,3,,,2,False,broken links
category/video-tools,Video Tools: Research Guide and Shortlist,True,4,,,1,False,broken links
category/website-builder-tools,Website Builder Tools: Research Guide and Shortlist,True,3,,,1,False,broken links
category/website-builders,Website Builders,True,0,,,1,False,missing affiliate links; broken links
category/writing-tools,Writing Tools: Research Guide and Shortlist,True,5,,,1,False,broken links
chatgpt,ChatGPT Review,True,1,,,1,False,broken links
claude,Claude Review,True,1,,,1,False,broken links
claude-code-vs-cursor,Claude Code vs Cursor 2026: Which AI Coding Assistant Is Better?,True,2,,,7,True,broken links; missing CTA
clickfunnels-review-2026,ClickFunnels Review 2026,True,0,,,3,True,missing affiliate links; broken links; missing CTA
cloud-development-alternatives,Best Cloud Development Alternatives for 2026,True,1,,,1,False,broken links
cloud-development-software-review,Cloud Development Software Review: Research-Style Review for 2026,True,1,,,1,False,broken links
compare/activecampaign-vs-mailchimp,ActiveCampaign vs Mailchimp,True,2,,,1,True,broken links; missing CTA
compare/canva-vs-adcreative-ai,Canva vs AdCreative AI,True,3,,,1,True,broken links; missing CTA
compare/chatgpt-vs-claude,ChatGPT vs Claude 2026,True,2,,,1,True,broken links; missing CTA
compare/cursor-vs-github-copilot,Cursor vs GitHub Copilot,True,3,,,1,True,broken links; missing CTA
compare/cursor-vs-github-copilot-2026,Cursor vs GitHub Copilot 2026,True,2,,,1,True,broken links; missing CTA
compare/cursor-vs-windsurf,Cursor vs Windsurf,True,2,,,1,True,broken links; missing CTA
compare/github-copilot-vs-codeium,GitHub Copilot vs Codeium,True,3,,,1,True,broken links; missing CTA
