offer_id,brand_name,niche,keyword_group,keyword,intent_score,competition_level,estimated_cpc,match_type
activecampaign,ActiveCampaign,Email Marketing,buyer_keywords,best email marketing software,90,Medium,3.2,phrase
activecampaign,ActiveCampaign,Email Marketing,buyer_keywords,email marketing tool for business,90,Medium,3.2,phrase
activecampaign,ActiveCampaign,Email Marketing,review_keywords,email marketing software review,84,Medium,3.2,phrase
activecampaign,ActiveCampaign,Email Marketing,review_keywords,email marketing tool reviews,84,Medium,3.2,phrase
activecampaign,ActiveCampaign,Email Marketing,comparison_keywords,best email marketing tools,82,Medium,3.2,phrase
activecampaign,ActiveCampaign,Email Marketing,comparison_keywords,email marketing software comparison,82,Medium,3.2,phrase
activecampaign,ActiveCampaign,Email Marketing,alternatives_keywords,email marketing alternatives,78,Medium,3.2,phrase
activecampaign,ActiveCampaign,Email Marketing,alternatives_keywords,affordable email marketing platform,78,Medium,3.2,phrase
activecampaign,ActiveCampaign,Email Marketing,problem_solution_keywords,how to automate email marketing,68,Medium,3.2,phrase
activecampaign,ActiveCampaign,Email Marketing,problem_solution_keywords,solve email marketing workflow,68,Medium,3.2,phrase
activecampaign,ActiveCampaign,Email Marketing,negative_keywords,free,0,Medium,0.0,negative
activecampaign,ActiveCampaign,Email Marketing,negative_keywords,crack,0,Medium,0.0,negative
activecampaign,ActiveCampaign,Email Marketing,negative_keywords,nulled,0,Medium,0.0,negative
activecampaign,ActiveCampaign,Email Marketing,negative_keywords,coupon code,0,Medium,0.0,negative
activecampaign,ActiveCampaign,Email Marketing,negative_keywords,torrent,0,Medium,0.0,negative
activecampaign,ActiveCampaign,Email Marketing,negative_keywords,job,0,Medium,0.0,negative
activecampaign,ActiveCampaign,Email Marketing,negative_keywords,salary,0,Medium,0.0,negative
make,Make,Automation,buyer_keywords,best automation software,90,Medium,3.2,phrase
make,Make,Automation,buyer_keywords,automation tool for business,90,Medium,3.2,phrase
make,Make,Automation,review_keywords,automation software review,84,Medium,3.2,phrase
make,Make,Automation,review_keywords,automation tool reviews,84,Medium,3.2,phrase
make,Make,Automation,comparison_keywords,best automation tools,82,Medium,3.2,phrase
make,Make,Automation,comparison_keywords,automation software comparison,82,Medium,3.2,phrase
make,Make,Automation,alternatives_keywords,automation alternatives,78,Medium,3.2,phrase
make,Make,Automation,alternatives_keywords,affordable automation platform,78,Medium,3.2,phrase
make,Make,Automation,problem_solution_keywords,how to automate automation,68,Medium,3.2,phrase
make,Make,Automation,problem_solution_keywords,solve automation workflow,68,Medium,3.2,phrase
make,Make,Automation,negative_keywords,free,0,Medium,0.0,negative
make,Make,Automation,negative_keywords,crack,0,Medium,0.0,negative
make,Make,Automation,negative_keywords,nulled,0,Medium,0.0,negative
make,Make,Automation,negative_keywords,coupon code,0,Medium,0.0,negative
make,Make,Automation,negative_keywords,torrent,0,Medium,0.0,negative
make,Make,Automation,negative_keywords,job,0,Medium,0.0,negative
make,Make,Automation,negative_keywords,salary,0,Medium,0.0,negative
surfer-seo,Surfer SEO,AI SEO,buyer_keywords,best ai seo software,90,Medium,3.2,phrase
surfer-seo,Surfer SEO,AI SEO,buyer_keywords,ai seo tool for business,90,Medium,3.2,phrase
surfer-seo,Surfer SEO,AI SEO,review_keywords,ai seo software review,84,Medium,3.2,phrase
surfer-seo,Surfer SEO,AI SEO,review_keywords,ai seo tool reviews,84,Medium,3.2,phrase
surfer-seo,Surfer SEO,AI SEO,comparison_keywords,best ai seo tools,82,Medium,3.2,phrase
surfer-seo,Surfer SEO,AI SEO,comparison_keywords,ai seo software comparison,82,Medium,3.2,phrase
surfer-seo,Surfer SEO,AI SEO,alternatives_keywords,ai seo alternatives,78,Medium,3.2,phrase
surfer-seo,Surfer SEO,AI SEO,alternatives_keywords,affordable ai seo platform,78,Medium,3.2,phrase
surfer-seo,Surfer SEO,AI SEO,problem_solution_keywords,how to automate ai seo,68,Medium,3.2,phrase
surfer-seo,Surfer SEO,AI SEO,problem_solution_keywords,solve ai seo workflow,68,Medium,3.2,phrase
surfer-seo,Surfer SEO,AI SEO,negative_keywords,free,0,Medium,0.0,negative
surfer-seo,Surfer SEO,AI SEO,negative_keywords,crack,0,Medium,0.0,negative
surfer-seo,Surfer SEO,AI SEO,negative_keywords,nulled,0,Medium,0.0,negative
surfer-seo,Surfer SEO,AI SEO,negative_keywords,coupon code,0,Medium,0.0,negative
surfer-seo,Surfer SEO,AI SEO,negative_keywords,torrent,0,Medium,0.0,negative
surfer-seo,Surfer SEO,AI SEO,negative_keywords,job,0,Medium,0.0,negative
surfer-seo,Surfer SEO,AI SEO,negative_keywords,salary,0,Medium,0.0,negative
github-copilot,GitHub Copilot,AI Coding,buyer_keywords,best ai coding software,90,Medium,3.2,phrase
github-copilot,GitHub Copilot,AI Coding,buyer_keywords,ai coding tool for business,90,Medium,3.2,phrase
github-copilot,GitHub Copilot,AI Coding,review_keywords,ai coding software review,84,Medium,3.2,phrase
github-copilot,GitHub Copilot,AI Coding,review_keywords,ai coding tool reviews,84,Medium,3.2,phrase
github-copilot,GitHub Copilot,AI Coding,comparison_keywords,best ai coding tools,82,Medium,3.2,phrase
github-copilot,GitHub Copilot,AI Coding,comparison_keywords,ai coding software comparison,82,Medium,3.2,phrase
github-copilot,GitHub Copilot,AI Coding,alternatives_keywords,ai coding alternatives,78,Medium,3.2,phrase
github-copilot,GitHub Copilot,AI Coding,alternatives_keywords,affordable ai coding platform,78,Medium,3.2,phrase
github-copilot,GitHub Copilot,AI Coding,problem_solution_keywords,how to automate ai coding,68,Medium,3.2,phrase
github-copilot,GitHub Copilot,AI Coding,problem_solution_keywords,solve ai coding workflow,68,Medium,3.2,phrase
github-copilot,GitHub Copilot,AI Coding,negative_keywords,free,0,Medium,0.0,negative
github-copilot,GitHub Copilot,AI Coding,negative_keywords,crack,0,Medium,0.0,negative
github-copilot,GitHub Copilot,AI Coding,negative_keywords,nulled,0,Medium,0.0,negative
github-copilot,GitHub Copilot,AI Coding,negative_keywords,coupon code,0,Medium,0.0,negative
github-copilot,GitHub Copilot,AI Coding,negative_keywords,torrent,0,Medium,0.0,negative
github-copilot,GitHub Copilot,AI Coding,negative_keywords,job,0,Medium,0.0,negative
github-copilot,GitHub Copilot,AI Coding,negative_keywords,salary,0,Medium,0.0,negative
semrush,Semrush,AI SEO,buyer_keywords,best ai seo software,90,Medium,3.2,phrase
semrush,Semrush,AI SEO,buyer_keywords,ai seo tool for business,90,Medium,3.2,phrase
semrush,Semrush,AI SEO,review_keywords,ai seo software review,84,Medium,3.2,phrase
semrush,Semrush,AI SEO,review_keywords,ai seo tool reviews,84,Medium,3.2,phrase
