"slug","article_url","docs_html","article_visuals","repeated_final_verdict","official_link","video_file","video_size_bytes","audio_status","backup_file"
"zvec-review-2026","https://smileaireviewhub.com/zvec-review-2026/","True","2","False","","True","13221697","audio_normalized","True"
"affordable-ai-app-builder-platform","https://smileaireviewhub.com/affordable-ai-app-builder-platform/","True","2","False","","True","13635463","audio_normalized","True"
"affordable-automation-platform","https://smileaireviewhub.com/affordable-automation-platform/","True","2","False","","True","13553176","audio_normalized","True"
"affordable-ai-writing-platform","https://smileaireviewhub.com/affordable-ai-writing-platform/","True","2","False","","True","13654698","audio_normalized","True"
"best-automation-software","https://smileaireviewhub.com/best-automation-software/","True","2","False","","True","13723896","audio_normalized","True"
"affordable-ai-assistant-platform","https://smileaireviewhub.com/affordable-ai-assistant-platform/","True","2","False","","True","13677842","audio_normalized","True"
"best-ai-assistant-tools","https://smileaireviewhub.com/best-ai-assistant-tools/","True","2","False","","True","13711868","audio_normalized","True"
"affordable-ai-video-platform","https://smileaireviewhub.com/affordable-ai-video-platform/","True","2","False","","True","13691877","audio_normalized","True"
"kilocode-review-2026","https://smileaireviewhub.com/kilocode-review-2026/","True","2","False","/go/kilocode/","True","13395018","audio_normalized","True"
"rnns-vs-transformers-vs-ssms-where-should-ai-memory-live-for-continual-learning","https://smileaireviewhub.com/rnns-vs-transformers-vs-ssms-where-should-ai-memory-live-for-continual-learning/","True","2","False","","True","15129143","audio_normalized","True"
