go_slug,current_destination,affiliate_status,notes
activecampaign,https://www.activecampaign.com,normal_outbound,Replace with approved affiliate destination only after program approval.
adcreative-ai,https://www.adcreative.ai,normal_outbound,Replace with approved affiliate destination only after program approval.
ahrefs,https://ahrefs.com,normal_outbound,Replace with approved affiliate destination only after program approval.
ahrefs-ai,https://ahrefs.com,normal_outbound,Replace with approved affiliate destination only after program approval.
best-ai-automation-tools-2026-facebook-social-seed-15-facebook,,normal_outbound,Replace with approved affiliate destination only after program approval.
best-ai-automation-tools-2026-linkedin-social-seed-05-linkedin,,normal_outbound,Replace with approved affiliate destination only after program approval.
best-ai-automation-tools-2026-telegram-social-seed-23-telegram,,normal_outbound,Replace with approved affiliate destination only after program approval.
best-ai-automation-tools-2026-twitter-social-seed-29-xxtwitter,,normal_outbound,Replace with approved affiliate destination only after program approval.
best-ai-coding-tools-2026-facebook-social-seed-33-facebook,,normal_outbound,Replace with approved affiliate destination only after program approval.
best-ai-coding-tools-2026-facebook-social-seed-49-facebook,,normal_outbound,Replace with approved affiliate destination only after program approval.
best-ai-coding-tools-2026-facebook-social-seed-53-facebook,,normal_outbound,Replace with approved affiliate destination only after program approval.
best-ai-coding-tools-2026-linkedin-social-seed-32-linkedin,,normal_outbound,Replace with approved affiliate destination only after program approval.
best-ai-coding-tools-2026-linkedin-social-seed-48-linkedin,,normal_outbound,Replace with approved affiliate destination only after program approval.
best-ai-coding-tools-2026-linkedin-social-seed-52-linkedin,,normal_outbound,Replace with approved affiliate destination only after program approval.
best-ai-coding-tools-2026-telegram-social-seed-34-telegram,,normal_outbound,Replace with approved affiliate destination only after program approval.
best-ai-coding-tools-2026-telegram-social-seed-50-telegram,,normal_outbound,Replace with approved affiliate destination only after program approval.
best-ai-coding-tools-2026-telegram-social-seed-54-telegram,,normal_outbound,Replace with approved affiliate destination only after program approval.
best-ai-coding-tools-2026-twitter-social-seed-31-xxtwitter,,normal_outbound,Replace with approved affiliate destination only after program approval.
best-ai-coding-tools-2026-twitter-social-seed-47-xxtwitter,,normal_outbound,Replace with approved affiliate destination only after program approval.
