topic,slug,article_url,collected,approved,article_created,website_published,youtube_script_created,youtube_uploaded,facebook_posted,linkedin_posted,quora_answered,producthunt_commented,indexed_google,indexed_bing,indexed_yandex,revenue_checked,completion_percent,time_spent,money_earned,revenue_forecast,next_action,waiting_reason,blocked_reason,missed_deadline
ai-berkshire Review 2026,ai-berkshire-review-2026,https://smileaireviewhub.com/ai-berkshire-review-2026/,Yes,Pending,Yes,Yes,Pending,No,No,No,No,No,Pending,Pending,Pending,No,40,,,75.23,WRITE LATER,User approval,,No
"Tavant debuts agentic AI platform for software engineering, automation",tavant-debuts-agentic-ai-platform-for-software-engineering-automation,https://smileaireviewhub.com/tavant-debuts-agentic-ai-platform-for-software-engineering-automation/,Yes,Pending,Yes,Yes,Pending,No,No,No,No,No,Pending,Pending,Pending,No,40,,,29.21,WRITE NOW,User approval,,No
free-for-dev Review 2026,free-for-dev-review-2026,https://smileaireviewhub.com/free-for-dev-review-2026/,Yes,Pending,Yes,Yes,Pending,No,No,No,No,No,Pending,Pending,Pending,No,40,,,80.51,CREATE VIDEO,User approval,,No
AI shakes SaaS as markets plunge and Korea races to reinvent software,ai-shakes-saas-as-markets-plunge-and-korea-races-to-reinvent-software,https://smileaireviewhub.com/ai-shakes-saas-as-markets-plunge-and-korea-races-to-reinvent-software/,Yes,Pending,Yes,Yes,Pending,No,No,No,No,No,Pending,Pending,Pending,No,40,,,30.08,WRITE NOW,User approval,,No
agency-agents Review 2026,agency-agents-review-2026,https://smileaireviewhub.com/agency-agents-review-2026/,Yes,Pending,Yes,Yes,Pending,No,No,No,No,No,Pending,Pending,Pending,No,40,,,75.23,CREATE VIDEO,User approval,,No
affordable ai design platform,affordable-ai-design-platform,https://smileaireviewhub.com/affordable-ai-design-platform/,Yes,Pending,Yes,Yes,Pending,No,No,No,No,No,Pending,Pending,Pending,No,40,,,24.64,WRITE LATER,User approval,,No
affordable ai image platform,affordable-ai-image-platform,https://smileaireviewhub.com/affordable-ai-image-platform/,Yes,Pending,Yes,Yes,Pending,No,No,No,No,No,Pending,Pending,Pending,No,40,,,24.64,WRITE LATER,User approval,,No
affordable ai meeting platform,affordable-ai-meeting-platform,https://smileaireviewhub.com/affordable-ai-meeting-platform/,Yes,Pending,Yes,Yes,Pending,No,No,No,No,No,Pending,Pending,Pending,No,40,,,24.64,WRITE LATER,User approval,,No
affordable ai search platform,affordable-ai-search-platform,https://smileaireviewhub.com/affordable-ai-search-platform/,Yes,Pending,Yes,Yes,Pending,No,No,No,No,No,Pending,Pending,Pending,No,40,,,24.64,WRITE LATER,User approval,,No
affordable ai voice platform,affordable-ai-voice-platform,https://smileaireviewhub.com/affordable-ai-voice-platform/,Yes,Pending,Yes,Yes,Pending,No,No,No,No,No,Pending,Pending,Pending,No,40,,,24.64,WRITE LATER,User approval,,No
logto Review 2026,logto-review-2026,https://smileaireviewhub.com/logto-review-2026/,Yes,Pending,Yes,Yes,Pending,No,No,No,No,No,Pending,Pending,Pending,No,40,,,74.3,CREATE VIDEO,User approval,,No
