comparison_slug,tool_a_slug,tool_a_name,tool_b_slug,tool_b_name,title,output_path,status
cursor-vs-github-copilot,cursor,Cursor,github-copilot,GitHub Copilot,Cursor vs GitHub Copilot: Which AI coding assistants should you choose?,D:\AFFILATE BOT\site_output\compare\cursor-vs-github-copilot\index.html,built
cursor-vs-windsurf,cursor,Cursor,windsurf,Windsurf,Cursor vs Windsurf: Which AI coding editors should you choose?,D:\AFFILATE BOT\site_output\compare\cursor-vs-windsurf\index.html,built
github-copilot-vs-codeium,github-copilot,GitHub Copilot,codeium,Codeium,GitHub Copilot vs Codeium: Which AI coding assistants should you choose?,D:\AFFILATE BOT\site_output\compare\github-copilot-vs-codeium\index.html,built
semrush-vs-ahrefs,semrush,Semrush,ahrefs,Ahrefs,Semrush vs Ahrefs: Which SEO platforms should you choose?,D:\AFFILATE BOT\site_output\compare\semrush-vs-ahrefs\index.html,built
make-vs-zapier,make,Make,zapier,Zapier,Make vs Zapier: Which automation platforms should you choose?,D:\AFFILATE BOT\site_output\compare\make-vs-zapier\index.html,built
canva-vs-adcreative-ai,canva,Canva,adcreative-ai,AdCreative AI,Canva vs AdCreative AI: Which AI design and ad creative tools should you choose?,D:\AFFILATE BOT\site_output\compare\canva-vs-adcreative-ai\index.html,built
activecampaign-vs-mailchimp,activecampaign,ActiveCampaign,mailchimp,Mailchimp,ActiveCampaign vs Mailchimp: Which email marketing platforms should you choose?,D:\AFFILATE BOT\site_output\compare\activecampaign-vs-mailchimp\index.html,built
jasper-vs-copy-ai,jasper,Jasper,copy-ai,Copy.ai,Jasper vs Copy.ai: Which AI writing tools should you choose?,D:\AFFILATE BOT\site_output\compare\jasper-vs-copy-ai\index.html,built
synthesia-vs-pictory,synthesia,Synthesia,pictory,Pictory,Synthesia vs Pictory: Which AI video tools should you choose?,D:\AFFILATE BOT\site_output\compare\synthesia-vs-pictory\index.html,built
grammarly-vs-quillbot,grammarly,Grammarly,quillbot,QuillBot,Grammarly vs QuillBot: Which AI writing assistants should you choose?,D:\AFFILATE BOT\site_output\compare\grammarly-vs-quillbot\index.html,built
