run_timestamp,topic,slug,article_type,status,published_url,source_file,word_count,internal_links_added,affiliate_links_added,video_package_path,error
2026-06-30T14:10:02,Free For Dev Review Pricing 2026,free-for-dev-review-pricing-2026,pricing,published_source,https://smileaireviewhub.com/free-for-dev-review-pricing-2026/,D:\AFFILATE BOT\data\published_static_pages\free-for-dev-review-pricing-2026\index.html,1536,8,1,,
2026-06-30T14:10:02,AI Berkshire Review Alternatives 2026,ai-berkshire-review-alternatives-2026,alternatives,published_source,https://smileaireviewhub.com/ai-berkshire-review-alternatives-2026/,D:\AFFILATE BOT\data\published_static_pages\ai-berkshire-review-alternatives-2026\index.html,1516,8,1,,
2026-06-30T14:10:02,Agency Agents Review Comparison 2026,agency-agents-review-comparison-2026,comparison,published_source,https://smileaireviewhub.com/agency-agents-review-comparison-2026/,D:\AFFILATE BOT\data\published_static_pages\agency-agents-review-comparison-2026\index.html,1516,8,1,,
2026-06-30T14:10:02,Logto Review Tutorial 2026,logto-review-tutorial-2026,tutorial,published_source,https://smileaireviewhub.com/logto-review-tutorial-2026/,D:\AFFILATE BOT\data\published_static_pages\logto-review-tutorial-2026\index.html,1496,8,1,,
2026-06-30T14:10:02,Vulnclaw Review FAQ 2026,vulnclaw-review-faq-2026,faq,published_source,https://smileaireviewhub.com/vulnclaw-review-faq-2026/,D:\AFFILATE BOT\data\published_static_pages\vulnclaw-review-faq-2026\index.html,1496,8,1,,
2026-06-30T14:10:03,Council Of High Intelligence Review Pricing 2026,council-of-high-intelligence-review-pricing-2026,pricing,published_source,https://smileaireviewhub.com/council-of-high-intelligence-review-pricing-2026/,D:\AFFILATE BOT\data\published_static_pages\council-of-high-intelligence-review-pricing-2026\index.html,1556,8,1,,
2026-06-30T14:10:03,Cupy Review Alternatives 2026,cupy-review-alternatives-2026,alternatives,published_source,https://smileaireviewhub.com/cupy-review-alternatives-2026/,D:\AFFILATE BOT\data\published_static_pages\cupy-review-alternatives-2026\index.html,1496,8,1,,
2026-06-30T14:10:03,Best AI Search Software Comparison 2026,best-ai-search-software-comparison-2026,comparison,published_source,https://smileaireviewhub.com/best-ai-search-software-comparison-2026/,D:\AFFILATE BOT\data\published_static_pages\best-ai-search-software-comparison-2026\index.html,1536,8,1,,
2026-06-30T14:10:03,"Tavant Debuts Agentic AI Platform For Software Engineering, Automation Tutorial 2026",tavant-debuts-agentic-ai-platform-for-software-engineering-automation-tutorial-2026,tutorial,published_source,https://smileaireviewhub.com/tavant-debuts-agentic-ai-platform-for-software-engineering-automation-tutorial-2026/,D:\AFFILATE BOT\data\published_static_pages\tavant-debuts-agentic-ai-platform-for-software-engineering-automation-tutorial-2026\index.html,1628,8,1,,
2026-06-30T14:10:03,Affordable AI Search Platform FAQ 2026,affordable-ai-search-platform-faq-2026,faq,published_source,https://smileaireviewhub.com/affordable-ai-search-platform-faq-2026/,D:\AFFILATE BOT\data\published_static_pages\affordable-ai-search-platform-faq-2026\index.html,1536,8,1,,
