brand_name,affiliate_program_url,terms_url,payout_source,policy_source,last_checked,confidence
Jasper AI,https://www.jasper.ai/partners,https://www.jasper.ai/partners,"Dữ liệu mẫu, chưa xác minh payout thật","Dữ liệu mẫu, chưa xác minh affiliate terms thật",2026-05-11,LOW
Surfer SEO,https://surferseo.com/affiliate-program/,https://surferseo.com/affiliate-program/,"Dữ liệu mẫu, chưa xác minh payout thật","Dữ liệu mẫu, chưa xác minh affiliate terms thật",2026-05-11,LOW
Synthesia,https://www.synthesia.io/affiliate-program,https://www.synthesia.io/affiliate-program,"Dữ liệu mẫu, chưa xác minh payout thật","Dữ liệu mẫu, chưa xác minh affiliate terms thật",2026-05-11,LOW
ElevenLabs,https://elevenlabs.io/affiliate,https://elevenlabs.io/affiliate,"Dữ liệu mẫu, chưa xác minh payout thật","Dữ liệu mẫu, chưa xác minh affiliate terms thật",2026-05-11,LOW
Notion,https://www.notion.com/affiliates,https://www.notion.com/affiliates,"Dữ liệu mẫu, chưa xác minh payout thật","Dữ liệu mẫu, chưa xác minh affiliate terms thật",2026-05-11,LOW
Make,https://www.make.com/en/affiliates,https://www.make.com/en/affiliates,"Dữ liệu mẫu, chưa xác minh payout thật","Dữ liệu mẫu, chưa xác minh affiliate terms thật",2026-05-11,LOW
HubSpot,https://www.hubspot.com/partners/affiliates,https://www.hubspot.com/partners/affiliates,"Dữ liệu mẫu, chưa xác minh payout thật","Dữ liệu mẫu, chưa xác minh affiliate terms thật",2026-05-11,LOW
ActiveCampaign,https://www.activecampaign.com/partner/affiliate,https://www.activecampaign.com/partner/affiliate,"Dữ liệu mẫu, chưa xác minh payout thật","Dữ liệu mẫu, chưa xác minh affiliate terms thật",2026-05-11,LOW
Canva,https://www.canva.com/affiliates/,https://www.canva.com/affiliates/,"Dữ liệu mẫu, chưa xác minh payout thật","Dữ liệu mẫu, chưa xác minh affiliate terms thật",2026-05-11,LOW
Reclaim AI,https://reclaim.ai/affiliate,https://reclaim.ai/affiliate,"Dữ liệu mẫu, chưa xác minh payout thật","Dữ liệu mẫu, chưa xác minh affiliate terms thật",2026-05-11,LOW
Gamma,,,"Dữ liệu mẫu, chưa xác minh payout thật","Dữ liệu mẫu, chưa xác minh affiliate terms thật",2026-05-11,LOW
Webflow AI,,,"Dữ liệu mẫu, chưa xác minh payout thật","Dữ liệu mẫu, chưa xác minh affiliate terms thật",2026-05-11,LOW
AdCreative AI,,,"Dữ liệu mẫu, chưa xác minh payout thật","Dữ liệu mẫu, chưa xác minh affiliate terms thật",2026-05-11,LOW
Pipedrive CRM,,,"Dữ liệu mẫu, chưa xác minh payout thật","Dữ liệu mẫu, chưa xác minh affiliate terms thật",2026-05-11,LOW
Pipedrive,,,"Dữ liệu mẫu, chưa xác minh payout thật","Dữ liệu mẫu, chưa xác minh affiliate terms thật",2026-05-12,LOW
Notion AI,,,"Dữ liệu mẫu, chưa xác minh payout thật","Dữ liệu mẫu, chưa xác minh affiliate terms thật",2026-05-12,LOW
Jasper,https://www.jasper.ai/partners,https://www.jasper.ai/partners,"Dữ liệu mẫu, chưa xác minh payout thật","Dữ liệu mẫu, chưa xác minh affiliate terms thật",2026-05-12,LOW
Copy.ai,,,"Dữ liệu mẫu, chưa xác minh payout thật","Dữ liệu mẫu, chưa xác minh affiliate terms thật",2026-05-12,LOW
Descript,,,"Dữ liệu mẫu, chưa xác minh payout thật","Dữ liệu mẫu, chưa xác minh affiliate terms thật",2026-05-12,LOW
Runway,,,"Dữ liệu mẫu, chưa xác minh payout thật","Dữ liệu mẫu, chưa xác minh affiliate terms thật",2026-05-12,LOW
Zapier,,,"Dữ liệu mẫu, chưa xác minh payout thật","Dữ liệu mẫu, chưa xác minh affiliate terms thật",2026-05-12,LOW
Framer,,,"Dữ liệu mẫu, chưa xác minh payout thật","Dữ liệu mẫu, chưa xác minh affiliate terms thật",2026-05-12,LOW
Webflow,,,"Dữ liệu mẫu, chưa xác minh payout thật","Dữ liệu mẫu, chưa xác minh affiliate terms thật",2026-05-12,LOW
Durable,,,"Dữ liệu mẫu, chưa xác minh payout thật","Dữ liệu mẫu, chưa xác minh affiliate terms thật",2026-05-12,LOW
Cursor,,,"Dữ liệu mẫu, chưa xác minh payout thật","Dữ liệu mẫu, chưa xác minh affiliate terms thật",2026-05-12,LOW
GitHub Copilot,,,"Dữ liệu mẫu, chưa xác minh payout thật","Dữ liệu mẫu, chưa xác minh affiliate terms thật",2026-05-12,LOW
Semrush,,,"Dữ liệu mẫu, chưa xác minh payout thật","Dữ liệu mẫu, chưa xác minh affiliate terms thật",2026-05-12,LOW
