"slug","title","output_path","url","page_type"
"hidden-ai-infrastructure-companies-2026","8 AI Infrastructure Companies Quietly Powering the AI Boom in 2026","D:\AFFILATE BOT\site_output\hidden-ai-infrastructure-companies-2026\index.html","https://smileaireviewhub.com/hidden-ai-infrastructure-companies-2026/","article"
"review-surfer-seo-review-2026","Surfer SEO Review 2026: Pricing, Pros, Cons & Best Alternatives","D:\AFFILATE BOT\site_output\review\surfer-seo-review-2026\index.html","https://smileaireviewhub.com/review/surfer-seo-review-2026/","review"
"surfer-seo-free-trial","Surfer SEO Free Trial: Is It Worth Trying in 2026?","D:\AFFILATE BOT\site_output\surfer-seo-free-trial\index.html","https://smileaireviewhub.com/surfer-seo-free-trial/","article"
"compare-chatgpt-vs-claude","ChatGPT vs Claude 2026","D:\AFFILATE BOT\site_output\compare\chatgpt-vs-claude\index.html","https://smileaireviewhub.com/compare/chatgpt-vs-claude/","comparison"
"compare-cursor-vs-github-copilot-2026","Cursor vs GitHub Copilot 2026","D:\AFFILATE BOT\site_output\compare\cursor-vs-github-copilot-2026\index.html","https://smileaireviewhub.com/compare/cursor-vs-github-copilot-2026/","comparison"
"zapier-pricing","How Much Does Zapier Cost in 2026?","D:\AFFILATE BOT\site_output\zapier-pricing\index.html","https://smileaireviewhub.com/zapier-pricing/","pricing"
"review-adcreative-ai-review-2026","AdCreative.ai Review 2026","D:\AFFILATE BOT\site_output\review\adcreative-ai-review-2026\index.html","https://smileaireviewhub.com/review/adcreative-ai-review-2026/","review"
"webflow-pros-and-cons","Webflow Pros and Cons 2026","D:\AFFILATE BOT\site_output\webflow-pros-and-cons\index.html","https://smileaireviewhub.com/webflow-pros-and-cons/","article"
"best-website-builder-2026","Best Website Builder for Small Businesses in 2026","D:\AFFILATE BOT\site_output\best-website-builder-2026\index.html","https://smileaireviewhub.com/best-website-builder-2026/","article"
"review-windsurf-review-2026","Windsurf Review 2026","D:\AFFILATE BOT\site_output\review\windsurf-review-2026\index.html","https://smileaireviewhub.com/review/windsurf-review-2026/","review"
"review-durable-ai-review-2026","Durable AI Website Builder Review 2026","D:\AFFILATE BOT\site_output\review\durable-ai-review-2026\index.html","https://smileaireviewhub.com/review/durable-ai-review-2026/","review"
"review-surfer-seo-alternatives","Surfer SEO Alternatives: Best SEO Content Optimization Tools","D:\AFFILATE BOT\site_output\surfer-seo-alternatives\index.html","https://smileaireviewhub.com/surfer-seo-alternatives/","review"
"compare-surfer-seo-vs-frase","Surfer SEO vs Frase: Which AI SEO Tool Is Better?","D:\AFFILATE BOT\site_output\comparisons\surfer-seo-vs-frase\index.html","https://smileaireviewhub.com/comparisons/surfer-seo-vs-frase/","comparison"
"surfer-seo-vs-clearscope","Surfer SEO vs Clearscope: Best Content Optimization Software","D:\AFFILATE BOT\site_output\surfer-seo-vs-clearscope\index.html","https://smileaireviewhub.com/surfer-seo-vs-clearscope/","article"
"best-ai-seo-tools-2026","Best AI SEO Tools for Content Creators in 2026","D:\AFFILATE BOT\site_output\best-ai-seo-tools-2026\index.html","https://smileaireviewhub.com/best-ai-seo-tools-2026/","article"
"best-ai-website-builders-compared","Best AI Website Builders Compared: Wix, Webflow, Durable, Framer","D:\AFFILATE BOT\site_output\best-ai-website-builders-compared\index.html","https://smileaireviewhub.com/best-ai-website-builders-compared/","article"
