source_name,source_url,category,trust_level,notes
SaaSStacker,https://saasstacker.io/,saas,high,SaaS affiliate program directory
AffiliateOtter,https://www.affiliateotter.com/affiliate-programs,saas,high,Affiliate program database
PartnerStack Support,https://support.partnerstack.com/hc/en-us/articles/360009185034-What-is-the-Marketplace,saas,high,PartnerStack marketplace information
Rewardful Program,https://www.rewardful.com/rewardful-affiliate-program-get-started,saas,high,Official affiliate program example
CommissionDex,https://commissiondex.com/,marketplace,high,Large affiliate program comparison directory
OpenAffiliate,https://openaffiliate.dev/,marketplace,high,Open affiliate program registry
APDB Marketplace,https://www.affiliateprogramdb.com/marketplace-affiliate-programs/,marketplace,medium,Marketplace affiliate program directory
Trading Affiliate Network,https://www.affiliatenetwork.me/,crypto,medium,Crypto forex and stock affiliate program directory
Affiliates8 Crypto,https://affiliates8.com/,crypto,medium,Financial affiliate program directory with crypto offers
Traders Union Crypto,https://tradersunion.com/ratings/crypto/common/crypto-affiliate-programs/,crypto,medium,Crypto affiliate program editorial list
