topic,slug,velocity,acceleration,growth_rate,decay_rate,stability_score,volatility_score,days_since_first_seen,days_since_last_growth,peak_rank,average_rank,trend_lifetime,trend_confidence,momentum_grade,momentum_recommendation
affordable automation platform,affordable-automation-platform,0.0,0.0,0.0,0,100.0,0.0,12,12,1,1.0,12,95.9,C,Watch
affordable ai app builder platform,affordable-ai-app-builder-platform,0.0,0.0,0.0,0,100.0,0.0,12,12,2,2.0,12,95.2,C,Watch
affordable ai assistant platform,affordable-ai-assistant-platform,0.0,0.0,0.0,0,100.0,0.0,12,12,3,3.0,12,95.2,C,Watch
ai-berkshire Review 2026,ai-berkshire-review-2026,0.0,0.0,0.0,0,100.0,0.0,0,0,1,1.0,0,94.7,C,Watch
kilocode Review 2026,kilocode-review-2026,0.0,0.0,0.0,0,100.0,0.0,12,12,4,4.0,12,94.5,C,Watch
best automation software,best-automation-software,0.0,0.0,0.0,0,100.0,0.0,12,12,5,5.0,12,94.3,C,Watch
affordable ai coding platform,affordable-ai-coding-platform,0.0,0.0,0.0,0,100.0,0.0,12,12,6,6.0,12,93.8,C,Watch
affordable ai seo platform,affordable-ai-seo-platform,0.0,0.0,0.0,0,100.0,0.0,12,12,7,7.0,12,93.8,C,Watch
"Tavant debuts agentic AI platform for software engineering, automation",tavant-debuts-agentic-ai-platform-for-software-engineering-automation,0.0,0.0,0.0,0,100.0,0.0,0,0,2,2.0,0,93.5,C,Watch
affordable ai video platform,affordable-ai-video-platform,0.0,0.0,0.0,0,100.0,0.0,12,12,8,8.0,12,93.4,C,Watch
affordable ai writing platform,affordable-ai-writing-platform,0.0,0.0,0.0,0,100.0,0.0,12,12,9,9.0,12,93.4,C,Watch
RNNs vs Transformers vs SSMs: where should AI memory live for continual learning?,rnns-vs-transformers-vs-ssms-where-should-ai-memory-live-for-continual-learning,0.0,0.0,0.0,0,100.0,0.0,12,12,10,10.0,12,93.3,C,Watch
free-for-dev Review 2026,free-for-dev-review-2026,0.0,0.0,0.0,0,100.0,0.0,0,0,3,3.0,0,93.3,C,Watch
AI shakes SaaS as markets plunge and Korea races to reinvent software,ai-shakes-saas-as-markets-plunge-and-korea-races-to-reinvent-software,0.0,0.0,0.0,0,100.0,0.0,0,0,4,4.0,0,93.3,C,Watch
best ai assistant tools,best-ai-assistant-tools,0.0,0.0,0.0,0,100.0,0.0,12,12,10,10.8,12,93.0,C,Watch
agency-agents Review 2026,agency-agents-review-2026,0.0,0.0,0.0,0,100.0,0.0,0,0,5,5.0,0,92.8,C,Watch
affordable ai productivity platform,affordable-ai-productivity-platform,0.0,0.0,0.0,0,100.0,0.0,12,12,11,11.8,12,92.6,C,Watch
best ai coding software,best-ai-coding-software,0.0,0.0,0.0,0,100.0,0.0,12,12,12,12.8,12,92.3,C,Watch
best ai seo software,best-ai-seo-software,0.0,0.0,0.0,0,100.0,0.0,12,12,13,13.8,12,92.3,C,Watch
affordable ai design platform,affordable-ai-design-platform,0.0,0.0,0.0,0,100.0,0.0,12,12,6,13.8,12,92.1,C,Watch
affordable ai image platform,affordable-ai-image-platform,0.0,0.0,0.0,0,100.0,0.0,12,12,7,14.8,12,92.1,C,Watch
affordable ai meeting platform,affordable-ai-meeting-platform,0.0,0.0,0.0,0,100.0,0.0,12,12,8,15.8,12,92.1,C,Watch
affordable ai search platform,affordable-ai-search-platform,0.0,0.0,0.0,0,100.0,0.0,12,12,9,16.8,12,92.1,C,Watch
affordable ai voice platform,affordable-ai-voice-platform,0.0,0.0,0.0,0,100.0,0.0,12,12,10,17.8,12,92.1,C,Watch
logto Review 2026,logto-review-2026,0.0,0.0,0.0,0,100.0,0.0,0,0,11,11.0,0,91.8,C,Watch
VulnClaw Review 2026,vulnclaw-review-2026,0.0,0.0,0.0,0,100.0,0.0,0,0,12,12.0,0,91.8,C,Watch
best ai productivity software,best-ai-productivity-software,0.0,0.0,0.0,0,100.0,0.0,12,12,14,19.1,12,91.1,C,Watch
AI coding tokens could soon cost as much as salaries,ai-coding-tokens-could-soon-cost-as-much-as-salaries,0.0,0.0,0.0,0,100.0,0.0,0,0,13,13.0,0,91.1,C,Watch
council-of-high-intelligence Review 2026,council-of-high-intelligence-review-2026,0.0,0.0,0.0,0,100.0,0.0,0,0,15,15.0,0,91.0,C,Watch
affordable productivity platform,affordable-productivity-platform,0.0,0.0,0.0,0,100.0,0.0,12,12,21,21.0,12,90.7,C,Watch
cupy Review 2026,cupy-review-2026,0.0,0.0,0.0,0,100.0,0.0,0,0,16,16.0,0,90.7,C,Watch
best ai image software,best-ai-image-software,0.0,0.0,0.0,0,100.0,0.0,12,12,17,22.6,12,90.6,C,Watch
best ai meeting software,best-ai-meeting-software,0.0,0.0,0.0,0,100.0,0.0,12,12,18,23.6,12,90.6,C,Watch
best ai search software,best-ai-search-software,0.0,0.0,0.0,0,100.0,0.0,12,12,19,24.6,12,90.6,C,Watch
best ai voice software,best-ai-voice-software,0.0,0.0,0.0,0,100.0,0.0,12,12,20,25.6,12,90.6,C,Watch
zvec Review 2026,zvec-review-2026,-0.11,0.02,-1.0,1.0,99.2,0.8,12,12,20,23.0,12,90.1,C,Watch
GLM-5 Review 2026,glm-5-review-2026,-0.06,0.01,-0.5,0.5,99.6,0.4,12,12,22,23.2,12,90.2,C,Watch
Qrvey 9.4 Brings AI Agents to Embedded Analytics for SaaS Products,qrvey-9-4-brings-ai-agents-to-embedded-analytics-for-saas-products,0.0,0.0,0.0,0,100.0,0.0,12,12,27,27.8,12,90.3,C,Watch
best ai image tools,best-ai-image-tools,0.0,0.0,0.0,0,100.0,0.0,12,12,21,27.9,12,90.0,C,Watch
best ai meeting tools,best-ai-meeting-tools,0.0,0.0,0.0,0,100.0,0.0,12,12,22,28.9,12,90.0,C,Watch
