post_id,platform,target_url,tracked_url,topic,campaign,content_angle,has_utm
social-seed-32-linkedin,LinkedIn,https://review.mssmileenglish.com/best-ai-coding-tools-2026/?utm_source=linkedin,https://review.mssmileenglish.com/best-ai-coding-tools-2026/?utm_source=linkedin&utm_medium=social&utm_campaign=copilot-vs-codex-comparison&utm_content=social-seed-32-linkedin,Copilot vs Codex,copilot-vs-codex-comparison,comparison,true
social-seed-31-xxtwitter,X/Twitter,https://review.mssmileenglish.com/best-ai-coding-tools-2026/?utm_source=twitter,https://review.mssmileenglish.com/best-ai-coding-tools-2026/?utm_source=twitter&utm_medium=social&utm_campaign=copilot-vs-codex-comparison&utm_content=social-seed-31-xxtwitter,Copilot vs Codex,copilot-vs-codex-comparison,comparison,true
social-seed-34-telegram,Telegram,https://review.mssmileenglish.com/best-ai-coding-tools-2026/?utm_source=telegram,https://review.mssmileenglish.com/best-ai-coding-tools-2026/?utm_source=telegram&utm_medium=social&utm_campaign=copilot-vs-codex-comparison&utm_content=social-seed-34-telegram,Copilot vs Codex,copilot-vs-codex-comparison,comparison,true
social-seed-33-facebook,Facebook,https://review.mssmileenglish.com/best-ai-coding-tools-2026/?utm_source=facebook,https://review.mssmileenglish.com/best-ai-coding-tools-2026/?utm_source=facebook&utm_medium=social&utm_campaign=copilot-vs-codex-comparison&utm_content=social-seed-33-facebook,Copilot vs Codex,copilot-vs-codex-comparison,comparison,true
social-seed-36-linkedin,LinkedIn,https://review.mssmileenglish.com/review/cursor/?utm_source=linkedin,https://review.mssmileenglish.com/review/cursor/?utm_source=linkedin&utm_medium=social&utm_campaign=cursor-vs-codex-comparison&utm_content=social-seed-36-linkedin,Cursor vs Codex,cursor-vs-codex-comparison,comparison,true
social-seed-35-xxtwitter,X/Twitter,https://review.mssmileenglish.com/review/cursor/?utm_source=twitter,https://review.mssmileenglish.com/review/cursor/?utm_source=twitter&utm_medium=social&utm_campaign=cursor-vs-codex-comparison&utm_content=social-seed-35-xxtwitter,Cursor vs Codex,cursor-vs-codex-comparison,comparison,true
social-seed-38-telegram,Telegram,https://review.mssmileenglish.com/review/cursor/?utm_source=telegram,https://review.mssmileenglish.com/review/cursor/?utm_source=telegram&utm_medium=social&utm_campaign=cursor-vs-codex-comparison&utm_content=social-seed-38-telegram,Cursor vs Codex,cursor-vs-codex-comparison,comparison,true
social-seed-37-facebook,Facebook,https://review.mssmileenglish.com/review/cursor/?utm_source=facebook,https://review.mssmileenglish.com/review/cursor/?utm_source=facebook&utm_medium=social&utm_campaign=cursor-vs-codex-comparison&utm_content=social-seed-37-facebook,Cursor vs Codex,cursor-vs-codex-comparison,comparison,true
social-seed-44-linkedin,LinkedIn,https://review.mssmileenglish.com/review/cursor/?utm_source=linkedin,https://review.mssmileenglish.com/review/cursor/?utm_source=linkedin&utm_medium=social&utm_campaign=when-codex-fixes-what-cursor-breaks-failure-case&utm_content=social-seed-44-linkedin,When Codex fixes what Cursor breaks,when-codex-fixes-what-cursor-breaks-failure-case,failure_case,true
social-seed-43-xxtwitter,X/Twitter,https://review.mssmileenglish.com/review/cursor/?utm_source=twitter,https://review.mssmileenglish.com/review/cursor/?utm_source=twitter&utm_medium=social&utm_campaign=when-codex-fixes-what-cursor-breaks-failure-case&utm_content=social-seed-43-xxtwitter,When Codex fixes what Cursor breaks,when-codex-fixes-what-cursor-breaks-failure-case,failure_case,true
social-seed-46-telegram,Telegram,https://review.mssmileenglish.com/review/cursor/?utm_source=telegram,https://review.mssmileenglish.com/review/cursor/?utm_source=telegram&utm_medium=social&utm_campaign=when-codex-fixes-what-cursor-breaks-failure-case&utm_content=social-seed-46-telegram,When Codex fixes what Cursor breaks,when-codex-fixes-what-cursor-breaks-failure-case,failure_case,true
social-seed-45-facebook,Facebook,https://review.mssmileenglish.com/review/cursor/?utm_source=facebook,https://review.mssmileenglish.com/review/cursor/?utm_source=facebook&utm_medium=social&utm_campaign=when-codex-fixes-what-cursor-breaks-failure-case&utm_content=social-seed-45-facebook,When Codex fixes what Cursor breaks,when-codex-fixes-what-cursor-breaks-failure-case,failure_case,true
social-seed-56-linkedin,LinkedIn,https://review.mssmileenglish.com/comparisons/cursor-vs-copilot/?utm_source=linkedin,https://review.mssmileenglish.com/comparisons/cursor-vs-copilot/?utm_source=linkedin&utm_medium=social&utm_campaign=which-ai-survives-the-second-failed-fix-failure-case&utm_content=social-seed-56-linkedin,Which AI survives the second failed fix?,which-ai-survives-the-second-failed-fix-failure-case,failure_case,true
